ID;AgeGroup;task;list;itemno;noun;adjective;stimtype;trialnum;response;reaction_time;confidence;confidence_rt;correctness;enc_pract_num;rec_pract_num
005704;OA;ENC_GYAK;4;3;sivatag;végtelen;TARG;1;None;;;;none;2;1
005704;OA;ENC_GYAK;4;5;hulladék;darabos;FOIL;2;None;;;;none;2;1
005704;OA;ENC_GYAK;4;6;karrier;termékeny;FOIL;3;None;;;;none;2;1
005704;OA;ENC_GYAK;4;1;színésznõ;tevékeny;TARG;4;None;;;;none;2;1
005704;OA;ENC_GYAK;4;4;retorika;ésszerû;FOIL;5;None;;;;none;2;1
005704;OA;ENC_GYAK;4;2;csokoládé;közönséges;TARG;6;None;;;;none;2;1
005704;OA;ENC_GYAK;4;4;retorika;ésszerû;FOIL;1;None;;;;none;2;1
005704;OA;ENC_GYAK;4;1;színésznõ;tevékeny;TARG;2;None;;;;none;2;1
005704;OA;ENC_GYAK;4;6;karrier;termékeny;FOIL;3;good;1,500279596;;;;2;1
005704;OA;ENC_GYAK;4;2;csokoládé;közönséges;TARG;4;good;1,557649915;;;;2;1
005704;OA;ENC_GYAK;4;3;sivatag;végtelen;TARG;5;no-good;1,616616636;;;;2;1
005704;OA;ENC_GYAK;4;5;hulladék;darabos;FOIL;6;no-good;1,839212827;;;;2;1
005704;OA;ENC;4;75;sütemény;születésnapi;TARG;1;good;1,463636064;;;;2;1
005704;OA;ENC;4;33;iránytû;hasznos;TARG;2;good;1,285193926;;;;2;1
005704;OA;ENC;4;62;gyulladás;fájdalmas;FOIL;3;good;1,093566933;;;;2;1
005704;OA;ENC;4;54;tartozás;nagymértékû;FOIL;4;no-good;1,34458455;;;;2;1
005704;OA;ENC;4;89;törmelék;építkezési;TARG;5;no-good;1,725979643;;;;2;1
005704;OA;ENC;4;27;párbeszéd;kötetlen;FOIL;6;good;1,758590962;;;;2;1
005704;OA;ENC;4;98;zarándok;keresztény;TARG;7;no-good;1,489491988;;;;2;1
005704;OA;ENC;4;110;hátrány;mentális;FOIL;8;no-good;1,600948386;;;;2;1
005704;OA;ENC;4;40;kesztyû;férfias;TARG;9;good;1,093703466;;;;2;1
005704;OA;ENC;4;89;ellenõr;közömbös;FOIL;10;no-good;1,408677297;;;;2;1
005704;OA;ENC;4;20;díszlet;színpadi;TARG;11;good;1,197977767;;;;2;1
