itemno	noun	adjective	stimtype	encoding_version_noun	encoding_version_adjective	repeat_enc.thisRepN	repeat_enc.thisTrialN	repeat_enc.thisN	repeat_enc.thisIndex	enc_practice_loop.thisRepN	enc_practice_loop.thisTrialN	enc_practice_loop.thisN	enc_practice_loop.thisIndex	break_loop.thisRepN	break_loop.thisTrialN	break_loop.thisN	break_loop.thisIndex	enc_loop.thisRepN	enc_loop.thisTrialN	enc_loop.thisN	enc_loop.thisIndex	level_loop.thisRepN	level_loop.thisTrialN	level_loop.thisN	level_loop.thisIndex	practiceRepeat.thisRepN	practiceRepeat.thisTrialN	practiceRepeat.thisN	practiceRepeat.thisIndex	practice_loop.thisRepN	practice_loop.thisTrialN	practice_loop.thisN	practice_loop.thisIndex	blokk_loop.thisRepN	blokk_loop.thisTrialN	blokk_loop.thisN	blokk_loop.thisIndex	trial_loop.thisRepN	trial_loop.thisTrialN	trial_loop.thisN	trial_loop.thisIndex	repeat_rec_pract.thisRepN	repeat_rec_pract.thisTrialN	repeat_rec_pract.thisN	repeat_rec_pract.thisIndex	test_pract_loop.thisRepN	test_pract_loop.thisTrialN	test_pract_loop.thisN	test_pract_loop.thisIndex	test_loop.thisRepN	test_loop.thisTrialN	test_loop.thisN	test_loop.thisIndex	exp_intro.started	exp_intro.stopped	exp_intro_cont.started	exp_intro_cont.stopped	exp_continue.keys	exp_continue.rt	exp_continue.started	exp_continue.stopped	enc_instr_text.started	enc_instr_text.stopped	enc_instr_cont_text.started	enc_instr_cont_text.stopped	enc_instr_cont_key.keys	enc_instr_cont_key.rt	enc_instr_cont_key.started	enc_instr_cont_key.stopped	newspaper.started	newspaper.stopped	editor.started	editor.stopped	enc_pract_start_text.started	enc_pract_start_text.stopped	key_resp_5.keys	key_resp_5.rt	key_resp_5.started	key_resp_5.stopped	fx_cross.started	fx_cross.stopped	megfelelõ_v.started	megfelelõ_v.stopped	nemmegf_v.started	nemmegf_v.stopped	enc_cross_resp.keys	enc_cross_resp.started	enc_cross_resp.stopped	word_pair_text.started	word_pair_text.stopped	enc_keys.keys	enc_keys.started	enc_keys.stopped	megfelelõ_válasz.started	megfelelõ_válasz.stopped	nemmegfelelõ_válasz.started	nemmegfelelõ_válasz.stopped	enc_feedback_text.started	enc_feedback_text.stopped	enc_cross_resp.rt	enc_keys.rt	enc_repeat_button.keys	enc_repeat_button.rt	enc_repeat_button.started	enc_repeat_button.stopped	repeat_text_for_enc.started	repeat_text_for_enc.stopped	enc_pract_endtext.started	enc_pract_endtext.stopped	enc_pract_cont_text.started	enc_pract_cont_text.stopped	end_enc_pract_key.keys	end_enc_pract_key.rt	end_enc_pract_key.started	end_enc_pract_key.stopped	end_enc_text.started	end_enc_text.stopped	end_enc_key.keys	end_enc_key.rt	end_enc_key.started	end_enc_key.stopped	instr_instr.started	instr_instr.stopped	instr_tovabb.keys	instr_tovabb.rt	instr_tovabb.started	instr_tovabb.stopped	sad_computer.started	sad_computer.stopped	warning.started	warning.stopped	lvl_instr_text.started	lvl_instr_text.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	pract_inst_text.started	pract_inst_text.stopped	pract_inst_key.keys	pract_inst_key.rt	pract_inst_key.started	pract_inst_key.stopped	pract_stim.started	pract_stim.stopped	pract_resp.keys	pract_resp.started	pract_resp.stopped	nback_feedback.started	nback_feedback.stopped	feladat_blokk	Betû	All_keys	All_RT	Answer_key	Answer RT	Response type	Correctness	pract_stim2.started	pract_stim2.stopped	feedback_2.started	feedback_2.stopped	repeat_pract_text.started	repeat_pract_text.stopped	repeat_practice_key.keys	repeat_practice_key.rt	repeat_practice_key.started	repeat_practice_key.stopped	pract_resp.rt	szunet_text.started	szunet_text.stopped	szunet_key.keys	szunet_key.rt	szunet_key.started	szunet_key.stopped	test_stim.started	test_stim.stopped	key_resp.keys	key_resp.started	key_resp.stopped	key_resp.rt	blokk_szun_text.started	blokk_szun_text.stopped	blokk_szun_resp.keys	blokk_szun_resp.rt	blokk_szun_resp.started	blokk_szun_resp.stopped	text_3.started	text_3.stopped	end_keys.keys	end_keys.rt	end_keys.started	end_keys.stopped	break_text.started	break_text.stopped	break_cont_text.started	break_cont_text.stopped	szun2_resp.keys	szun2_resp.rt	szun2_resp.started	szun2_resp.stopped	test_instr_text.started	test_instr_text.stopped	test_instr_cont_text.started	test_instr_cont_text.stopped	test_instr_cont_key.keys	test_instr_cont_key.rt	test_instr_cont_key.started	test_instr_cont_key.stopped	news_coffee.started	news_coffee.stopped	editorman.started	editorman.stopped	test2_inst.started	test2_inst.stopped	test2_space.started	test2_space.stopped	test2_resp.keys	test2_resp.rt	test2_resp.started	test2_resp.stopped	test_pract_start_text.started	test_pract_start_text.stopped	test_pract_begin.keys	test_pract_begin.rt	test_pract_begin.started	test_pract_begin.stopped	test_pract_words.started	test_pract_words.stopped	test_pract_keys.keys	test_pract_keys.started	test_pract_keys.stopped	régi_válasz.started	régi_válasz.stopped	uj_válasz.started	uj_válasz.stopped	confid_break_text.started	confid_break_text.stopped	confid_break_gombok.keys	confid_break_gombok.started	confid_break_gombok.stopped	konfidencia_kérdés.started	konfidencia_kérdés.stopped	confid_rate_keys.keys	confid_rate_keys.started	confid_rate_keys.stopped	test_pract_feedback_text.started	test_pract_feedback_text.stopped	feedback_button.keys	feedback_button.rt	feedback_button.started	feedback_button.stopped	test_pract_keys.rt	confid_rate_keys.rt	confid_break_gombok.rt	repeat_pract_rec_textbox.started	repeat_pract_rec_textbox.stopped	rec_pract_repeat_button.keys	rec_pract_repeat_button.rt	rec_pract_repeat_button.started	rec_pract_repeat_button.stopped	test_pract_end_text.started	test_pract_end_text.stopped	test_pract_end_cont_text.started	test_pract_end_cont_text.stopped	test_pract_end_key.keys	test_pract_end_key.rt	test_pract_end_key.started	test_pract_end_key.stopped	test_end_text.started	test_end_text.stopped	end_exp_text.started	end_exp_text.stopped	key_resp_3.keys	key_resp_3.rt	key_resp_3.started	key_resp_3.stopped	Résztvevõ kódja:	Lista száma:	date	expName	psychopyVersion	frameRate
																																																						30.898306133720325	None	30.898306133720325	None	4	20.91560618605581	30.898306133720325	None																																																																																																																																																																																																																									457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
																																																														51.86816555252881	None	51.86816555252881	None	4	51.62470088942791	51.86816555252881	None																																																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
																																																																						51.86816555252881	None	51.86816555252881	None	103.52402183762752	None	4	25.339246294199256	103.52402183762752	None																																																																																																																																																																																																							457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
4	retorika	ésszerû	FOIL			0	0	0	0	0	0	0	3																																																																			128.94136281841202	None	128.94136281841202	None	128.94136281841202	None	None	128.94136281841202	None	129.96480618379428	None	None	129.96480618379428	None	129.96480618379428	None	129.96480618379428	None	131.9729103934078	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
1	színésznõ	tevékeny	TARG			0	0	0	0	0	1	1	0																																																																			136.97790920225088	None	136.97790920225088	None	136.97790920225088	None	None	136.97790920225088	None	137.99729175464017	None	None	137.99729175464017	None	137.99729175464017	None	137.99729175464017	None	140.00724925249233	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
2	csokoládé	közönséges	TARG			0	0	0	0	0	2	2	1																																																																			145.0329044967075	None	145.0329044967075	None	145.0329044967075	None	j	145.0329044967075	None	146.0518454197736	None	None	146.0518454197736	None	146.0518454197736	None	146.0518454197736	None	148.06485482523567	None	0.726471574336756																																																																																																																																																																																		457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
6	karrier	termékeny	FOIL			0	0	0	0	0	3	3	5																																																																			153.07125409672153	None	153.07125409672153	None	153.07125409672153	None	None	153.07125409672153	None	154.10192245608778	None	2	154.10192245608778	None	154.10192245608778	None	154.10192245608778	None	156.1313545643061	None		1.7531556283065584																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
3	sivatag	végtelen	TARG			0	0	0	0	0	4	4	2																																																																			161.14498629391892	None	161.14498629391892	None	161.14498629391892	None	None	161.14498629391892	None	162.15020436240593	None	None	162.15020436240593	None	162.15020436240593	None	162.15020436240593	None	164.16025578425615	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
5	hulladék	darabos	FOIL			0	0	0	0	0	5	5	4																																																																			169.17801052817958	None	169.17801052817958	None	169.17801052817958	None	j	169.17801052817958	None	170.20631679255166	None	None	170.20631679255166	None	170.20631679255166	None	170.20631679255166	None	172.21412430185592	None	0.952832430251874																																																																																																																																																																																		457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
						0	0	0	0																																																																																													2	8.811727809516015	177.24631317242165	None	177.24631317242165	None																																																																																																																																																																											457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
1	színésznõ	tevékeny	TARG			1	0	1	0	0	0	0	0																																																																			186.12568895734148	None	186.12568895734148	None	186.12568895734148	None	None	186.12568895734148	None	187.12968912403448	None	None	187.12968912403448	None	187.12968912403448	None	187.12968912403448	None	189.11927351349732	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
4	retorika	ésszerû	FOIL			1	0	1	0	0	1	1	3																																																																			194.11261517350795	None	194.11261517350795	None	194.11261517350795	None	None	194.11261517350795	None	195.12115137124783	None	None	195.12115137124783	None	195.12115137124783	None	195.12115137124783	None	197.12119180211448	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
2	csokoládé	közönséges	TARG			1	0	1	0	0	2	2	1																																																																			202.1233791114355	None	202.1233791114355	None	202.1233791114355	None	None	202.1233791114355	None	203.11780618442572	None	j	203.11780618442572	None	203.11780618442572	None	203.11780618442572	None	205.1115101671021	None		1.1268717153870966																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
5	hulladék	darabos	FOIL			1	0	1	0	0	3	3	4																																																																			210.1128241699189	None	210.1128241699189	None	210.1128241699189	None	None	210.1128241699189	None	211.11943679195247	None	j	211.11943679195247	None	211.11943679195247	None	211.11943679195247	None	213.12174166174373	None		1.7182392299873754																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
6	karrier	termékeny	FOIL			1	0	1	0	0	4	4	5																																																																			218.1102247769013	None	218.1102247769013	None	218.1102247769013	None	None	218.1102247769013	None	219.11937116956688	None	2	219.11937116956688	None	219.11937116956688	None	219.11937116956688	None	221.1297702967422	None		1.2390545897360425																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
3	sivatag	végtelen	TARG			1	0	1	0	0	5	5	2																																																																			226.1077205518668	None	226.1077205518668	None	226.1077205518668	None	None	226.1077205518668	None	227.12452952479362	None	None	227.12452952479362	None	227.12452952479362	None	227.12452952479362	None	229.11581045517232	None																																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
						1	0	1	0																																																																																													2	19.38673420069972	234.10644853493432	None	234.10644853493432	None																																																																																																																																																																											457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
5	hulladék	darabos	FOIL			2	0	2	0	0	0	0	4																																																																			253.56202062222292	None	253.56202062222292	None	253.56202062222292	None	None	253.56202062222292	None	254.5641914481821	None	2	254.5641914481821	None	254.5641914481821	None	254.5641914481821	None	256.5660472244781	None		1.6587977853778284																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
2	csokoládé	közönséges	TARG			2	0	2	0	0	1	1	1																																																																			261.5600373332272	None	261.5600373332272	None	261.5600373332272	None	None	261.5600373332272	None	262.5696219341771	None	j	262.5696219341771	None	262.5696219341771	None	262.5696219341771	None	264.54985000152374	None		0.8486203436914366																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
