itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,22.75988844782114,22.75988844782114,4,116.49122634716332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,139.30035069026053,142.3441606061533,143.32642017956823,143.32642017956823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,149.30643584113568,150.32752953935415,150.32752953935415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,156.31190084572881,157.32981263659894,157.32981263659894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,163.3195637324825,164.31769738253206,164.31769738253206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.30279644485563,170.30279644485563,4,42.60441028140485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,lepke,szintetizátor,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,212.95531180221587,,,,,,,213.97917221207172,213.97917221207172,213.97917221207172,213.97917221207172,szintetizátor,4,6.4956740494817495,220.5188426328823,220.5188426328823,220.5188426328823,lepke,down,6.660176214762032,227.21447311714292,227.21447311714292,4,3.0690059354528785,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,230.31274273991585,,,,,,,231.3261580010876,231.3261580010876,231.3261580010876,231.3261580010876,kard,None,,246.3408505646512,246.3408505646512,246.3408505646512, ,down,6.342204835265875,252.72697557415813,252.72697557415813,4,3.402853569947183,231.3261580010876,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,256.14925538841635,,,,,,,257.15794708393514,257.15794708393514,257.15794708393514,257.15794708393514,sapka,4,3.6863309191539884,260.89356334879994,260.89356334879994,260.89356334879994, beton,down,2.221961366944015,263.1635890509933,263.1635890509933,4,4.366043475456536,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,267.5513381352648,,,,,,,268.57142728287727,268.57142728287727,268.57142728287727,268.57142728287727,szikla,4,8.485544259659946,277.08740647975355,277.08740647975355,277.08740647975355,majoránna,down,2.8430859157815576,279.95134553778917,279.95134553778917,4,3.3534026201814413,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
