itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,fix.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,38.63807159848511,38.63807159848511,4,192.32876593153924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,231.03202712722123,234.07414423394948,235.0609407685697,235.0609407685697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,241.04931503906846,242.05968585796654,242.05968585796654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,248.04586411174387,249.05685165710747,249.05685165710747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,255.0485704895109,256.0664962762967,256.0664962762967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.03220968786627,262.03220968786627,4,10.000603806227446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,272.0730681521818,,,,,,,273.0991668757051,273.0991668757051,273.0991668757051,273.0991668757051,beton,4,5.393390572629869,278.5413265293464,278.5413265293464,278.5413265293464, sapka,down,2.299890854395926,280.8933353815228,280.8933353815228,4,4.6730332132428885,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,285.59530324302614,,,,,,,286.6200316725299,286.6200316725299,286.6200316725299,286.6200316725299,lepke,4,5.56151036452502,292.21463359706104,292.21463359706104,292.21463359706104, szintetizátor,down,7.090510155074298,299.3409609720111,299.3409609720111,4,1.829270695336163,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,301.20271738711745,,,,,,,302.23146743979305,302.23146743979305,302.23146743979305,302.23146743979305,majoránna,None,,317.2204954447225,317.2204954447225,317.2204954447225, ,down,1.9079988533630967,319.17007539980114,319.17007539980114,4,7.5521860821172595,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,326.7471735738218,,,,,,,327.76923823263496,327.76923823263496,327.76923823263496,327.76923823263496,harcsa,None,,342.7648620624095,342.7648620624095,342.7648620624095, ,down,1.4359399788081646,344.2269391864538,344.2269391864538,4,9.420940140262246,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
