itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,16.400457676965743,None,4,55.66591517115012,16.400457676965743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,72.10649736272171,None,75.13435142347589,None,76.15444866940379,None,76.15444866940379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,82.12660953681916,None,83.14555699098855,None,83.14555699098855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,89.11369809834287,None,90.1392690599896,None,90.1392690599896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,96.12257453706115,None,97.13262626994401,None,97.13262626994401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.13378445850685,None,4,22.052478629164398,103.13378445850685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,125.22187645174563,None,,,,,,,,,,,kard,126.23647945513949,None,None,126.23647945513949,None,126.23647945513949,None,126.23647945513949,None, ,141.237950516399,None,141.237950516399,None,down,8.197015829384327,141.237950516399,None,149.4949840856716,None,4,3.1100792256183922,149.4949840856716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,152.6663334746845,None,,,,,,,,,,,beton,153.68407266866416,None,4,153.68407266866416,None,153.68407266866416,None,153.68407266866416,None,sár,168.5336636635475,None,168.5336636635475,None,down,2.037212871015072,168.5336636635475,None,170.59911531070247,None,4,11.066570959519595,170.59911531070247,None,14.822899788152426,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,181.6952785467729,None,,,,,,,,,,,majoránna,182.71744491904974,None,None,182.71744491904974,None,182.71744491904974,None,182.71744491904974,None, ,197.71421107277274,None,197.71421107277274,None,down,2.4881543810479343,197.71421107277274,None,200.2432898771949,None,4,3.889317110646516,200.2432898771949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,204.15794469416142,None,,,,,,,,,,,lepke,205.16506425710395,None,None,205.16506425710395,None,205.16506425710395,None,205.16506425710395,None, ,220.17609223956242,None,220.17609223956242,None,down,1.3220488741062582,220.17609223956242,None,221.53525663958862,None,4,10.757198402658105,221.53525663958862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,593598,2022_Jun_23_1046,palt,2021.1.2,54.85212930844152,
