itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,104.06043196283281,104.06043196283281,4,120.45027435198426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,224.55181615334004,227.55555569380522,228.55586234573275,228.55586234573275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,234.54078289028257,235.55458908621222,235.55458908621222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,241.54063018597662,242.55383054167032,242.55383054167032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,248.55041133705527,249.56867363210768,249.56867363210768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.54932872392237,255.54932872392237,4,41.25522482767701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,296.8383606476709,,,,,,,297.8583888374269,297.8583888374269,297.8583888374269,297.8583888374269,kard,4,7.740951810963452,305.6417909245938,305.6417909245938,305.6417909245938, harcsa,down,2.7522764867171645,308.4565688902512,308.4565688902512,4,5.237219734117389,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,313.7229088554159,,,,,,,314.73674117587507,314.73674117587507,314.73674117587507,314.73674117587507,lepke,4,11.446800721809268,326.21132200118154,326.21132200118154,326.21132200118154, ,down,1.6226938078179955,327.86904298327863,327.86904298327863,4,2.7038953993469477,314.73674117587507,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,330.6082824738696,,,,,,,331.62685515359044,331.62685515359044,331.62685515359044,331.62685515359044,majoránna,4,4.636544166132808,336.30842255055904,336.30842255055904,336.30842255055904, ,down,1.7328326785936952,338.06279250141233,338.06279250141233,4,5.763521233573556,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,343.8574094781652,,,,,,,344.86770503409207,344.86770503409207,344.86770503409207,344.86770503409207,beton,4,3.088555257767439,347.9817868433893,347.9817868433893,347.9817868433893, ,down,3.115025633946061,351.129856986925,351.129856986925,4,18.610705754719675,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
