itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,24.716439486015588,None,4,16.750689503736794,24.716439486015588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,41.500926802516915,None,44.528710351209156,None,45.539237334858626,None,45.539237334858626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,51.51665974158095,None,52.533027758065145,None,52.533027758065145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,58.50582672649762,None,59.53267320943996,None,59.53267320943996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,65.51597894605948,None,66.5395206627436,None,66.5395206627436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.52474593796069,None,4,5.615432630176656,72.52474593796069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,78.19998189934995,None,,,,,,,,,,,sapka,79.2212940028985,None,None,79.2212940028985,None,79.2212940028985,None,79.2212940028985,None, ,94.22340201208135,None,94.22340201208135,None,down,2.7512670448049903,94.22340201208135,None,97.05290362873347,None,4,9.65949213708518,97.05290362873347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,106.76266049547121,None,,,,,,,,,,,szikla,107.77915415901225,None,None,107.77915415901225,None,107.77915415901225,None,107.77915415901225,None, ,122.77029790793313,None,122.77029790793313,None,down,1.6758306078845635,122.77029790793313,None,124.48916480789194,None,4,8.392946535313968,124.48916480789194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,132.9082393986755,None,,,,,,,,,,,harcsa,133.92376178567065,None,4,133.92376178567065,None,133.92376178567065,None,133.92376178567065,None, kutya,139.02792381308973,None,139.02792381308973,None,down,3.05025944247609,139.02792381308973,None,142.1232837048592,None,4,11.531622625887394,142.1232837048592,None,5.0686975252465345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,153.69575095264008,None,,,,,,,,,,,szintetizátor,154.73331475583836,None,4,154.73331475583836,None,154.73331475583836,None,154.73331475583836,None, lepke,163.02313243073877,None,163.02313243073877,None,down,2.926860042847693,163.02313243073877,None,165.98580374929588,None,4,38.24190789449494,165.98580374929588,None,8.244630765577313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704497,2022_Apr_12_1421,palt,2021.1.2,50.96354013137246,
