itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,27.985526064876467,None,4,152.20512346038595,27.985526064876467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,180.22018302138895,None,183.24296705285087,None,184.2456603697501,None,184.2456603697501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,190.22459091758355,None,191.2434758595191,None,191.2434758595191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,197.21880619507283,None,198.22688645729795,None,198.22688645729795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,204.2290208954364,None,205.24860529135913,None,205.24860529135913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.22243222082034,None,4,9.515723248943686,211.22243222082034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,220.77198738837615,None,,,,,,,,,,,harcsa,221.7850179420784,None,4,4.350967199541628,221.7850179420784,None,221.7850179420784,None,221.7850179420784,None,kard,226.1809367891401,None,226.1809367891401,None,down,2.067057062871754,226.1809367891401,None,228.3068263460882,None,4,1.9692109702154994,228.3068263460882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,230.32097559049726,None,,,,,,,,,,,szikla,231.32740347459912,None,4,3.933479734696448,231.32740347459912,None,231.32740347459912,None,231.32740347459912,None, majoránna,235.3003393705003,None,235.3003393705003,None,down,3.6676471666432917,235.3003393705003,None,238.99643990769982,None,4,4.370369345415384,238.99643990769982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,243.4099548854865,None,,,,,,,,,,,szintetizátor,244.4304654588923,None,4,10.154196131974459,244.4304654588923,None,244.4304654588923,None,244.4304654588923,None, lepke,254.62832225020975,None,254.62832225020975,None,down,2.707497062627226,254.62832225020975,None,257.3673186819069,None,4,2.6487233489751816,257.3673186819069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,260.0452135154046,None,,,,,,,,,,,sapka,261.06089944345877,None,4,3.5410037306137383,261.06089944345877,None,261.06089944345877,None,261.06089944345877,None, beton,264.6276921508834,None,264.6276921508834,None,down,4.02041975967586,264.6276921508834,None,268.6793192438781,None,4,3.077270207926631,268.6793192438781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,123479,2022_Jun_16_1521,palt,2021.1.2,51.47344580841072,
