itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,40.54119419446215,None,4,113.39329268666916,40.54119419446215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,153.95459880656563,None,156.9770709683653,None,157.9783383239992,None,157.9783383239992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,163.96798208355904,None,164.96611883724108,None,164.96611883724108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,170.95665923156776,None,171.9640643214807,None,171.9640643214807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,177.96470064297318,None,178.97851155535318,None,178.97851155535318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.95798132475466,None,4,5.368098275735974,184.95798132475466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,190.3657545230817,None,,,,,,,,,,,sapka,191.36747532780282,None,4,6.687494945945218,191.36747532780282,None,191.36747532780282,None,191.36747532780282,None, beton,198.10164753138088,None,198.10164753138088,None,down,4.995215148665011,198.10164753138088,None,203.15313794184476,None,4,2.737069860799238,203.15313794184476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,205.92904549301602,None,,,,,,,,,,,szintetizátor,206.94554537674412,None,4,6.968682783422992,206.94554537674412,None,206.94554537674412,None,206.94554537674412,None, lepke,213.95404396904632,None,213.95404396904632,None,down,2.630814752774313,213.95404396904632,None,216.61101943301037,None,4,2.6068758794572204,216.61101943301037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,219.26292547397316,None,,,,,,,,,,,szikla,220.28108613798395,None,4,5.473671033745632,220.28108613798395,None,220.28108613798395,None,220.28108613798395,None, majoránna,225.79026459297165,None,225.79026459297165,None,down,3.4503886972088367,225.79026459297165,None,229.28225210518576,None,4,1.9598392837215215,229.28225210518576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,231.27265814435668,None,,,,,,,,,,,kard,232.28019541222602,None,4,4.097490604501218,232.28019541222602,None,232.28019541222602,None,232.28019541222602,None, harcsa,236.4324485375546,None,236.4324485375546,None,down,2.6326341468375176,236.4324485375546,None,239.09637937461957,None,4,2.4845052927266806,239.09637937461957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,734689,2022_Apr_26_1144,palt,2021.1.2,51.062603888892134,
