itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,442.77869185898453,None,4,72.45846172701567,442.77869185898453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,515.2706707030302,None,518.287849119748,None,519.2979431307176,None,519.2979431307176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,525.2782943933271,None,526.292581387097,None,526.292581387097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,532.2817005310208,None,533.2887155824574,None,533.2887155824574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,539.2790610230295,None,540.2942707717884,None,540.2942707717884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.2950367796002,None,4,37.84041970875114,546.2950367796002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,584.1757976992521,None,,,,,,,,,,,szikla,585.1810170020908,None,4,13.821135159465484,585.1810170020908,None,585.1810170020908,None,585.1810170020908,None, ,599.0590538202086,None,599.0590538202086,None,down,1.5041379348840564,599.0590538202086,None,600.6218677030411,None,4,1.8883982942206785,600.6218677030411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,602.5378317034338,None,,,,,,,,,,,kard,603.5608153581852,None,None,,603.5608153581852,None,603.5608153581852,None,603.5608153581852,None, ,618.5458149166079,None,618.5458149166079,None,down,1.4409934526775032,618.5458149166079,None,620.030010213377,None,4,4.274809882044792,620.030010213377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,624.3344347092789,None,,,,,,,,,,,beton,625.3393423840171,None,None,,625.3393423840171,None,625.3393423840171,None,625.3393423840171,None,sátga,640.3428723021643,None,640.3428723021643,None,down,2.3957604282768443,640.3428723021643,None,642.7690307684243,None,4,4.167817285167985,642.7690307684243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,646.9649328289088,None,,,,,,,,,,,lepke,647.9967848198721,None,4,4.262563087628223,647.9967848198721,None,647.9967848198721,None,647.9967848198721,None, szintetizátor,652.285952294129,None,652.285952294129,None,down,5.796466163243167,652.285952294129,None,658.1198943698546,None,4,10.671320456895046,658.1198943698546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806000,2022_May_09_1258,palt,2021.1.2,59.847151510321574,
