itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,30.917535103391856,None,4,165.741580092581,30.917535103391856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,196.69226704607718,None,199.73845602176152,None,200.71832294785418,None,200.71832294785418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,206.69959500594996,None,207.7067432035692,None,207.7067432035692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,213.69993835827336,None,214.7099574666936,None,214.7099574666936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,220.70867735962383,None,221.7151525367517,None,221.7151525367517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.70044778869487,None,4,8.003932690480724,227.70044778869487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
2,lepke,szintetizátor,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,235.75489556998946,None,,,,,,,,,,,szintetizátor,236.77301829098724,None,4,4.868304473813623,236.77301829098724,None,236.77301829098724,None,236.77301829098724,None, lepke,241.69732216279954,None,241.69732216279954,None,down,4.900013248901814,241.69732216279954,None,246.63707626773976,None,4,12.838515237672254,246.63707626773976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,259.5319883709308,None,,,,,,,,,,,majoránna,260.544286853401,None,4,6.095922193257138,260.544286853401,None,260.544286853401,None,260.544286853401,None, szikla,266.6744575095363,None,266.6744575095363,None,down,2.8988391952589154,266.6744575095363,None,269.6000996467192,None,4,1.6529625337570906,269.6000996467192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,271.29474558960646,None,,,,,,,,,,,harcsa,272.3126095524058,None,4,7.30945406970568,272.3126095524058,None,272.3126095524058,None,272.3126095524058,None, kacsa,279.66665464104153,None,279.66665464104153,None,down,3.362444469705224,279.66665464104153,None,283.06541484058835,None,4,6.14862957643345,283.06541484058835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,289.2406252992805,None,,,,,,,,,,,sapka,290.2593806097284,None,4,3.8376559235621244,290.2593806097284,None,290.2593806097284,None,290.2593806097284,None, beton,294.12945689377375,None,294.12945689377375,None,down,3.795920265140012,294.12945689377375,None,297.96732958965003,None,4,7.482628362020478,297.96732958965003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.49044646997936,None,4,15.523306905990466,305.49044646997936,None,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,325.06507086614147,None,326.0643493286334,None,326.0643493286334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.04549760580994,None,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,332.04905522125773,None,333.06003036675975,None,333.06003036675975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,339.0486739259213,None,340.05727390688844,None,340.05727390688844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
10,málna,dominó,,,,,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,346.0464654613752,None,347.0483632294927,None,347.0483632294927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,353.04842294286937,None,354.0546359408181,None,354.0546359408181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,360.04880299419165,None,361.05769594409503,None,361.05769594409503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,367.0475791795179,None,368.058564277133,None,368.058564277133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
5,karton,hentes,,,,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,374.053028031718,None,375.0607895362191,None,375.0607895362191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,8,8,6,,,,,,,,,,,,,381.0459572749678,None,382.063542264048,None,382.063542264048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,388.0461525877472,None,389.0543323974125,None,389.0543323974125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,0,0,6,,,,,,,,,412.371149570914,None,,,,,,,,,,,csavarhúzó,413.3817763880361,None,4,1.354565093293786,413.3817763880361,None,413.3817763880361,None,413.3817763880361,None, harcsa,414.77125145704485,None,414.77125145704485,None,down,3.793037225259468,414.77125145704485,None,418.6122127689887,None,4,13.865656866459176,418.6122127689887,None,,,,,,,408.3464919591788,None,395.0479477234185,None,u,3.484606059268117,395.0479477234185,None,398.576377856778,None,4,9.736872371053323,398.576377856778,None,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,432.509366925573,None,,,,,,,,,,,hentes,433.52765168156475,None,4,3.804066797019914,433.52765168156475,None,433.52765168156475,None,433.52765168156475,None, karton,437.36304129310884,None,437.36304129310884,None,down,4.240738817024976,437.36304129310884,None,441.6433446248993,None,4,4.073480510385707,441.6433446248993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,445.7495801397599,None,,,,,,,,,,,fogó,446.7673489341978,None,4,2.802226876374334,446.7673489341978,None,446.7673489341978,None,446.7673489341978,None, lap,449.6143649411388,None,449.6143649411388,None,down,5.381313608959317,449.6143649411388,None,455.04174374463037,None,4,3.218786037992686,455.04174374463037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,458.2831344336737,None,,,,,,,,,,,szalvéta,459.2999126689974,None,4,3.51767362607643,459.2999126689974,None,459.2999126689974,None,459.2999126689974,None, piros,462.84730213391595,None,462.84730213391595,None,down,5.30013348441571,462.84730213391595,None,468.19414459867403,None,4,14.38060171250254,468.19414459867403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854499,2022_Apr_25_1031,palt,2021.1.2,50.360172375400325,
