itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,18.520794172480237,None,4,135.17226529307663,18.520794172480237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,153.71793434786377,None,156.73486458178377,None,157.73160865990212,None,157.73160865990212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,163.7189948783489,None,164.74423114961246,None,164.74423114961246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,170.7235113075585,None,171.73351948079653,None,171.73351948079653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,177.72423035342945,None,178.7423781758407,None,178.7423781758407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.7207299808506,None,4,9.569948671560269,184.7207299808506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,194.33674361783778,None,,,,,,,,,,,kard,195.35755489568692,None,4,5.555909549468197,195.35755489568692,None,195.35755489568692,None,195.35755489568692,None, harcsa,200.97194166027475,None,200.97194166027475,None,down,2.354592874471564,200.97194166027475,None,203.37988294975366,None,4,9.869398626382463,203.37988294975366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,213.2797890881775,None,,,,,,,,,,,sapka,214.29884162702365,None,4,2.587370294961147,214.29884162702365,None,214.29884162702365,None,214.29884162702365,None, beton,216.91242257505655,None,216.91242257505655,None,down,8.701688949251547,216.91242257505655,None,225.64085586363217,None,4,4.233072565170005,225.64085586363217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,229.91735295322724,None,,,,,,,,,,,szikla,230.92284967337037,None,4,3.9050843883887865,230.92284967337037,None,230.92284967337037,None,230.92284967337037,None, majoránna,234.85634881438455,None,234.85634881438455,None,down,3.0615008155000396,234.85634881438455,None,237.9552732934244,None,4,2.1756589906290174,237.9552732934244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,240.15742781863082,None,,,,,,,,,,,lepke,241.16534758656053,None,4,8.41950200474821,241.16534758656053,None,241.16534758656053,None,241.16534758656053,None, szintetizátor,249.61579064570833,None,249.61579064570833,None,down,5.0220105170155875,249.61579064570833,None,254.67001516465098,None,4,7.319511086156126,254.67001516465098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0342641535681,None,4,25.073410479410086,262.0342641535681,None,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,291.1738165910356,None,292.1593240222428,None,292.1593240222428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.1425502243801,None,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,298.1526118906331,None,299.1731544592767,None,299.1731544592767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
5,karton,hentes,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,305.15242404298624,None,306.1597609856399,None,306.1597609856399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,312.15455723321065,None,313.1640074616298,None,313.1640074616298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,319.1522965305485,None,320.1611182158813,None,320.1611182158813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,326.1489752974012,None,327.15248500020243,None,327.15248500020243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
10,málna,dominó,,,,,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,333.1523282531416,None,334.1521985636791,None,334.1521985636791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,340.1520160031505,None,341.15910787304165,None,341.15910787304165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,347.1398208356695,None,348.1633499949821,None,348.1633499949821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,354.1517137052724,None,355.17203825869365,None,355.17203825869365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,372.93809705378953,None,,,,,,,,,,,menta,373.91895650018705,None,None,,373.91895650018705,None,373.91895650018705,None,373.91895650018705,None,,388.9297801312059,None,388.9297801312059,None,down,2.7460775922518224,388.9297801312059,None,391.72038694121875,None,4,2.3585155932232738,391.72038694121875,None,,,,,,,368.91148053784855,None,361.15178741369164,None,u,3.7403880484052934,361.15178741369164,None,364.94451963878237,None,4,3.9347867058822885,364.94451963878237,None,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,394.1088051398401,None,,,,,,,,,,,kötény,395.1178759409231,None,4,4.9959021848626435,395.1178759409231,None,395.1178759409231,None,395.1178759409231,None,tisztás ,400.1516726525151,None,400.1516726525151,None,down,2.468133391754236,400.1516726525151,None,402.65478333458304,None,4,2.7218984304345213,402.65478333458304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,405.4050436465768,None,,,,,,,,,,,puska,406.4294342925423,None,4,10.421178949123714,406.4294342925423,None,406.4294342925423,None,406.4294342925423,None, ,416.8861587399733,None,416.8861587399733,None,down,1.5414004973717965,416.8861587399733,None,418.47479327430483,None,4,2.885016414860729,418.47479327430483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,878924,2022_May_04_1544,palt,2021.1.2,51.16214534858175,
