itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.576870875665918,None,4,43.58575944369659,17.576870875665918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,61.19403358735144,None,64.26451763184741,None,65.23509018868208,None,65.23509018868208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,71.20695435605012,None,72.24474041210487,None,72.24474041210487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,78.22100874362513,None,79.25169949536212,None,79.25169949536212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,85.20420225872658,None,86.21630196995102,None,86.21630196995102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.20037501165643,None,4,44.630251423921436,92.20037501165643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
2,lepke,szintetizátor,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,136.88181189936586,None,,,,,,,,,,,szintetizátor,137.92015994433314,None,4,6.0339190002996475,137.92015994433314,None,137.92015994433314,None,137.92015994433314,None, lepke,144.02005992480554,None,144.02005992480554,None,down,2.0150853744708,144.02005992480554,None,146.0950955504086,None,4,13.173802920151502,146.0950955504086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,159.31503660860471,None,,,,,,,,,,,beton,160.3322122581303,None,None,,160.3322122581303,None,160.3322122581303,None,160.3322122581303,None, szikla,175.34014603612013,None,175.34014603612013,None,down,2.8225841163657606,175.34014603612013,None,178.19794884929433,None,4,11.503733945079148,178.19794884929433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,189.73893454112113,None,,,,,,,,,,,szikla,190.75755108427256,None,4,4.173396123573184,190.75755108427256,None,190.75755108427256,None,190.75755108427256,None,majoránna,194.97013559262268,None,194.97013559262268,None,down,2.920578870223835,194.97013559262268,None,197.92067901440896,None,4,2.912118558306247,197.92067901440896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,200.8702166408766,None,,,,,,,,,,,kard,201.8981612045318,None,None,,201.8981612045318,None,201.8981612045318,None,201.8981612045318,None, ,216.8888801462017,None,216.8888801462017,None,down,2.3772973278537393,216.8888801462017,None,219.31368870590813,None,4,4.192495970753953,219.31368870590813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988938,2022_Jun_03_1156,palt,2021.1.2,52.97666988493033,
