itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.920130087528378,None,4,142.29844409646466,10.920130087528378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,153.26098739588633,None,156.2861692882143,None,157.29054048564285,None,157.29054048564285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,163.2679819338955,None,164.29585807630792,None,164.29585807630792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,170.26591218542308,None,171.28554074373096,None,171.28554074373096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,177.2662343881093,None,178.27797581953928,None,178.27797581953928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.268006503582,None,4,31.41899677971378,184.268006503582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,215.7441569636576,None,,,,,,,,,,,beton,216.75268631940708,None,4,3.9441824043169618,216.75268631940708,None,216.75268631940708,None,216.75268631940708,None," sapka
",220.75435331463814,None,220.75435331463814,None,return,3.1213323771953583,220.75435331463814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,223.92188043287024,None,,,,,,,,,,,lepke,224.94744175300002,None,4,4.7675455920398235,224.94744175300002,None,224.94744175300002,None,224.94744175300002,None, szintetizátor,229.75365479383618,None,229.75365479383618,None,return,7.145988668315113,229.75365479383618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,236.92613033764064,None,,,,,,,,,,,kard,237.9484030744061,None,4,4.870168745983392,237.9484030744061,None,237.9484030744061,None,237.9484030744061,None," 
harcsa",242.85163057642058,None,242.85163057642058,None,return,3.200193695258349,242.85163057642058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,246.07773982780054,None,,,,,,,,,,,szikla,247.09994943020865,None,4,14.366322838701308,247.09994943020865,None,247.09994943020865,None,247.09994943020865,None," 
",261.5151565945707,None,261.5151565945707,None,return,2.0082482057623565,261.5151565945707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5482405424118,None,4,30.250776117201895,263.5482405424118,None,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
12,koktél,tolltartó,,,,,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,297.85489148041233,None,298.8515652650967,None,298.8515652650967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.83143754070625,None,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
15,málna,dominó,,,,,,,,,0,0,0,0,0,1,1,14,,,,,,,,,,,,,304.8361567547545,None,305.85894171893597,None,305.85894171893597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434439,2022_Mar_21_1837,palt,2021.1.2,59.829444971148774,
