itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,10.701724780257791,None,4,0.6423980970866978,10.701724780257791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
,,,,,,,,,,,,,,,,,,,,,,,,,11.384173994418234,None,14.420667817816138,None,4,0.967502299696207,14.420667817816138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.43016004981473,None,4,0.8550740415230393,15.43016004981473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
3,hárfa,elefánt,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,16.317703489679843,None,20.335410027764738,None,21.349997791461647,None,21.349997791461647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
12,koktél,tolltartó,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,27.34450106136501,None,28.349176112096757,None,28.349176112096757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
11,szilva,kecske,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,34.33079966623336,None,35.35829171538353,None,35.35829171538353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
13,tenisz,pizsama,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,41.33256151853129,None,42.34623896609992,None,42.34623896609992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
10,szalvéta,puska,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,48.32973509049043,None,49.33609362039715,None,49.33609362039715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
14,lándzsa,fénymásoló,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33821219718084,None,56.33967361692339,None,56.33967361692339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
6,karton,hentes,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33068366069347,None,63.34133314806968,None,63.34133314806968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
