itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.859238108620048,None,4,49.547067425679415,15.859238108620048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,65.4342096671462,None,68.45795875182375,None,69.46814483962953,None,69.46814483962953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,75.43901907280087,None,76.45824861014262,None,76.45824861014262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,82.44257356738672,None,83.45373745961115,None,83.45373745961115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,89.44205978419632,None,90.45790961291641,None,90.45790961291641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.43987869517878,None,4,6.927325536031276,96.43987869517878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,103.42079564230517,None,,,,,,,,,,,szikla,104.42138375574723,None,4,4.844441659282893,104.42138375574723,None,104.42138375574723,None,104.42138375574723,None, beton,109.31002411572263,None,109.31002411572263,None,return,3.289875864982605,109.31002411572263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,112.6414025654085,None,,,,,,,,,,,harcsa,113.65103786019608,None,4,3.705716860946268,113.65103786019608,None,113.65103786019608,None,113.65103786019608,None," 
kard",117.3918906901963,None,117.3918906901963,None,return,2.423868387006223,117.3918906901963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,119.84585767239332,None,,,,,,,,,,,sapka,120.87459685793146,None,4,4.838015018962324,120.87459685793146,None,120.87459685793146,None,120.87459685793146,None," 
",125.75900597358122,None,125.75900597358122,None,return,1.384861007798463,125.75900597358122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,127.1818334213458,None,,,,,,,,,,,lepke,128.2078015380539,None,4,5.047716807574034,128.2078015380539,None,128.2078015380539,None,128.2078015380539,None," 

",133.30205394979566,None,133.30205394979566,None,return,1.4255705261602998,133.30205394979566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450749,2022_Mar_24_1521,palt,2021.1.2,59.655613894081895,
