itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,13.547421973198652,None,4,115.42026444268413,13.547421973198652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,128.99366013077088,None,132.04719431628473,None,133.0161605242174,None,133.0161605242174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,139.00057349633425,None,140.01233607623726,None,140.01233607623726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,146.00333834486082,None,147.0216762260534,None,147.0216762260534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,153.00144555862062,None,154.01183722168207,None,154.01183722168207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.99959289235994,None,4,15.250462000258267,159.99959289235994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
2,lepke,szintetizátor,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,175.29525690083392,None,,,,,,,,,,,szintetizátor,176.31395212863572,None,4,13.824918220750988,176.31395212863572,None,176.31395212863572,None,176.31395212863572,None, ,190.2247865407262,None,190.2247865407262,None,down,3.0534188020974398,190.2247865407262,None,193.33252948499285,None,4,3.055305056972429,193.33252948499285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,196.4545274162665,None,,,,,,,,,,,szikla,197.4857142237015,None,4,8.198000165401027,197.4857142237015,None,197.4857142237015,None,197.4857142237015,None, ,205.71597821218893,None,205.71597821218893,None,down,2.0576481805182993,205.71597821218893,None,207.8174245171249,None,4,3.1041411771439016,207.8174245171249,None,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,210.95824145688675,None,,,,,,,,,,,harcsa,211.98556027538143,None,4,13.388244759757072,211.98556027538143,None,211.98556027538143,None,211.98556027538143,None, kard,225.41257635992952,None,225.41257635992952,None,down,3.976868263212964,225.41257635992952,None,229.42707393202,None,4,17.232176990015432,229.42707393202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,246.7062987543177,None,,,,,,,,,,,beton,247.7312862672843,None,4,10.520704952301458,247.7312862672843,None,247.7312862672843,None,247.7312862672843,None, ,258.2834797035903,None,258.2834797035903,None,down,1.937578490236774,258.2834797035903,None,260.2502212813124,None,4,40.69139842875302,260.2502212813124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.97133856615983,None,4,23.506997959222645,300.97133856615983,None,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,328.5614776047878,None,329.5327617446892,None,329.5327617446892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.5142350825481,None,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,335.51588932657614,None,336.52451602718793,None,336.52451602718793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,342.5212971090805,None,343.53077410161495,None,343.53077410161495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,349.51787759154104,None,350.52600139472634,None,350.52600139472634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,356.51719493209384,None,357.53445051051676,None,357.53445051051676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
5,karton,hentes,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,363.5145551082678,None,364.52157888095826,None,364.52157888095826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,370.51373373996466,None,371.5277352563571,None,371.5277352563571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,377.51726895174943,None,378.527667457005,None,378.527667457005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,384.5160289683845,None,385.5274425991811,None,385.5274425991811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
10,málna,dominó,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,391.5136373278219,None,392.52590933674946,None,392.52590933674946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,408.7304751621559,None,,,,,,,,,,,hentes,409.72932692593895,None,4,10.472935896134004,409.72932692593895,None,409.72932692593895,None,409.72932692593895,None, karton,420.234784780303,None,420.234784780303,None,down,2.736440268345177,420.234784780303,None,423.02789822383784,None,4,3.764542823424563,423.02789822383784,None,,,,,,,404.7083457997069,None,398.51523310272023,None,u,3.704324795398861,398.51523310272023,None,402.27444060798734,None,4,2.4091618184465915,402.27444060798734,None,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,426.8224366994109,None,,,,,,,,,,,ananász,427.85148937953636,None,4,10.119489974109456,427.85148937953636,None,427.85148937953636,None,427.85148937953636,None, menta,437.9966174925212,None,437.9966174925212,None,down,4.110274537932128,437.9966174925212,None,442.15170714631677,None,4,8.527232980588451,442.15170714631677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,247786,2022_Jun_07_1136,palt,2021.1.2,59.47497800977298,
