itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,32.453292263671756,None,4,28.17958851205185,32.453292263671756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,60.6731571869459,None,63.71839790046215,None,64.71501196129248,None,64.71501196129248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,70.6944148640614,None,71.70227433601394,None,71.70227433601394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,77.69947806699201,None,78.69538178667426,None,78.69538178667426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,84.70166569412686,None,85.69818862969987,None,85.69818862969987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.69883583649062,None,4,16.31943119200878,91.69883583649062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,108.06296721100807,None,,,,,,,,,,,beton,109.0886611000169,None,None,109.0886611000169,None,109.0886611000169,None,109.0886611000169,None, ,124.06597776408307,None,124.06597776408307,None,down,1.8378602555021644,124.06597776408307,None,125.95482615288347,None,4,7.547929374035448,125.95482615288347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,133.5490567763336,None,,,,,,,,,,,majoránna,134.5558812150266,None,4,134.5558812150266,None,134.5558812150266,None,134.5558812150266,None,szikla,140.54918366740458,None,140.54918366740458,None,down,2.21852137055248,140.54918366740458,None,142.8056327200029,None,4,2.3250395911745727,142.8056327200029,None,5.963004718534648,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,145.1679036472924,None,,,,,,,,,,,harcsa,146.184877817519,None,4,146.184877817519,None,146.184877817519,None,146.184877817519,None,kard,148.80283396295272,None,148.80283396295272,None,down,3.2447797381319106,148.80283396295272,None,152.08452843152918,None,4,1.259318097261712,152.08452843152918,None,2.5800129130948335,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,153.37958440673538,None,,,,,,,,,,,szintetizátor,154.4006004310213,None,4,154.4006004310213,None,154.4006004310213,None,154.4006004310213,None,lap,165.3238132884726,None,165.3238132884726,None,down,3.2035423137713224,165.3238132884726,None,168.57339373929426,None,4,4.344037487637252,168.57339373929426,None,10.887827039929107,,,,,,,,,,,,,,,,,,,,,,,,,,,093503,2022_Apr_22_1418,palt,2021.1.2,51.931022511869465,
