itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,cue_resp.rt,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,43.890433934982866,None,4,36.96934221452102,43.890433934982866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
1,bagoly,kirakó,0,0,0,0,,,,,,,,,,,80.89365254202858,None,84.91191391600296,None,85.91459728078917,None,87.90087224915624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
2,kötény,tisztás,0,1,1,1,,,,,,,,,,,,,91.91738172248006,None,92.91451641917229,None,94.89528688183054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
3,hárfa,elefánt,0,2,2,2,,,,,,,,,,,,,98.89457685360685,None,99.92347651859745,None,101.91094481945038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
4,fogó,limonádé,0,3,3,3,,,,,,,,,,,,,105.89437345555052,None,106.92375020449981,None,108.90022815437987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
5,mocsár,ananász,0,4,4,4,,,,,,,,,,,,,112.89390290249139,None,113.91029792558402,None,115.89771739812568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
6,karton,hentes,0,5,5,5,,,,,,,,,,,,,119.89375579636544,None,120.91530357673764,None,122.89624073915184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
7,menta,triatlon,0,6,6,6,,,,,,,,,,,,,126.89295091154054,None,127.90621627541259,None,129.89590671798214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
8,pelikán,kakaó,0,7,7,7,,,,,,,,,,,,,133.90022286726162,None,134.9154625008814,None,136.8934108898975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
9,csavarhúzó,hering,0,8,8,8,,,,,,,,,,,,,140.89496965520084,None,141.92338103987277,None,143.91030041361228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
10,szalvéta,puska,0,9,9,9,,,,,,,,,,,,,147.89521224005148,None,148.92336269048974,None,150.90518093435094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
