itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.36679670936428,None,4,65.64057479170151,17.36679670936428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,83.0487333284691,None,86.08842815528624,None,87.09653798840009,None,87.09653798840009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,93.07238327572122,None,94.07587184756994,None,94.07587184756994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,100.07415881799534,None,101.10233392519876,None,101.10233392519876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,107.05639468855225,None,108.07769310777076,None,108.07769310777076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.05475194659084,None,4,24.843178795883432,114.05475194659084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
2,lepke,szintetizátor,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,138.94115892611444,None,,,,,,,,,,,szintetizátor,139.9415094316937,None,4,4.5702637592330575,139.9415094316937,None,139.9415094316937,None,139.9415094316937,None,lepke,144.56289567938074,None,144.56289567938074,None,down,7.841825912939385,144.56289567938074,None,152.46346252178773,None,4,4.137285264907405,152.46346252178773,None,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,156.63046642416157,None,,,,,,,,,,,sapka,157.6540289784316,None,4,1.623611195711419,157.6540289784316,None,157.6540289784316,None,157.6540289784316,None, beton,159.3224986596033,None,159.3224986596033,None,down,2.378194203134626,159.3224986596033,None,161.73244891082868,None,4,3.064434233587235,161.73244891082868,None,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,164.83599452138878,None,,,,,,,,,,,szikla,165.85436667036265,None,None,,165.85436667036265,None,165.85436667036265,None,165.85436667036265,None, ,180.84958928334527,None,180.84958928334527,None,down,1.5229184576310217,180.84958928334527,None,182.42223225045018,None,4,2.4914081054739654,182.42223225045018,None,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,184.94883117149584,None,,,,,,,,,,,harcsa,185.96980800875463,None,4,2.890857186401263,185.96980800875463,None,185.96980800875463,None,185.96980800875463,None,kard,188.89731525839306,None,188.89731525839306,None,down,2.082997341407463,188.89731525839306,None,191.02506347675808,None,4,5.150395166128874,191.02506347675808,None,,,,,,,,,,,,,,,,,,,,,433288,2022_Apr_23_1213,palt,2021.1.2,51.81695410950399,
