itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,30.50107142102206,None,4,37.892146001860965,30.50107142102206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,68.4218207874801,None,71.44948833034141,None,72.45765290065901,None,72.45765290065901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,78.43676781048998,None,79.45580862584757,None,79.45580862584757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,85.4348510709242,None,86.44501728581963,None,86.44501728581963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,92.42866264266195,None,93.45352956251008,None,93.45352956251008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43508588161785,None,4,38.1784222337883,99.43508588161785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,137.64710843836656,None,,,,,,,,,,,harcsa,138.66427045711316,None,4,1.5589922235812992,138.66427045711316,None,138.66427045711316,None,138.66427045711316,None, kard,140.2735075058299,None,140.2735075058299,None,down,3.1047756454208866,140.2735075058299,None,143.41740759031381,None,4,2.123836987244431,143.41740759031381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,145.5906907353201,None,,,,,,,,,,,majoránna,146.60303307004506,None,4,1.2362631074502133,146.60303307004506,None,146.60303307004506,None,146.60303307004506,None,szikla,147.87121674860828,None,147.87121674860828,None,down,3.1551280791172758,147.87121674860828,None,151.0523556334083,None,4,1.6727814898476936,151.0523556334083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,152.76776506239548,None,,,,,,,,,,,sapka,153.78542780334828,None,4,2.2397750046802685,153.78542780334828,None,153.78542780334828,None,153.78542780334828,None,beton,156.07395541894948,None,156.07395541894948,None,down,3.67209789523622,156.07395541894948,None,159.78638850565767,None,4,3.0217201454215683,159.78638850565767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,162.84351966000395,None,,,,,,,,,,,szintetizátor,163.86823605222162,None,4,0.9178585512563586,163.86823605222162,None,163.86823605222162,None,163.86823605222162,None,lepke,164.81502888014074,None,164.81502888014074,None,down,2.931114315171726,164.81502888014074,None,167.7804435963044,None,4,10.113537972152699,167.7804435963044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.91690500208642,None,4,33.06386229081545,177.91690500208642,None,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,215.03363515576348,None,216.03630080149742,None,216.03630080149742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.01242257468402,None,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,222.01818398956675,None,223.02529393322766,None,223.02529393322766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801231,2022_Apr_13_1801,palt,2021.1.2,59.96326142366296,
