itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,45.97070074628573,None,4,101.05931848636828,45.97070074628573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,147.05212678341195,None,150.14290321618319,None,151.0801316301804,None,151.0801316301804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,157.06611179048195,None,158.08138405135833,None,158.08138405135833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,164.06368283357006,None,165.07267930428497,None,165.07267930428497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,171.0642407783307,None,172.07587520196103,None,172.07587520196103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0666771993274,None,4,7.816768946126103,178.0666771993274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,185.93139176431578,None,,,,,,,,,,,kard,186.95038738904987,None,4,4.026136944652535,186.95038738904987,None,186.95038738904987,None,186.95038738904987,None,harcsa,191.11626461881679,None,191.11626461881679,None,down,2.6860761367715895,191.11626461881679,None,193.85572493635118,None,4,1.8085562105989084,193.85572493635118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,195.69173520198092,None,,,,,,,,,,,majoránna,196.71966385224368,None,4,12.155702668358572,196.71966385224368,None,196.71966385224368,None,196.71966385224368,None, ,208.91563246806618,None,208.91563246806618,None,down,2.038314384757541,208.91563246806618,None,211.0052217907505,None,4,4.7110334356548265,211.0052217907505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,215.7493481313577,None,,,,,,,,,,,szintetizátor,216.7669149945723,None,4,2.666915056761354,216.7669149945723,None,216.7669149945723,None,216.7669149945723,None, lepke,219.48683853680268,None,219.48683853680268,None,down,12.379250674624927,219.48683853680268,None,231.91024553298485,None,4,1.8414730861550197,231.91024553298485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,233.793477395433,None,,,,,,,,,,,sapka,234.81297809397802,None,4,1.6479769682046026,234.81297809397802,None,234.81297809397802,None,234.81297809397802,None, beton,236.49797535093967,None,236.49797535093967,None,down,2.647861273959279,236.49797535093967,None,239.17233806848526,None,4,1.2733391346409917,239.17233806848526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,871070,2022_May_06_1126,palt,2021.1.2,59.96378344192403,
