itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,cue_resp.rt,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,13.138995063025504,None,4,25.38461220311001,13.138995063025504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
1,bagoly,kirakó,0,0,0,0,,,,,,,,,,,38.552834420930594,None,42.57485088799149,None,43.5803252258338,None,45.55740372929722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
2,kötény,tisztás,0,1,1,1,,,,,,,,,,,,,49.553652679082006,None,50.57280944054946,None,52.55369995208457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
3,hárfa,elefánt,0,2,2,2,,,,,,,,,,,,,56.55733748525381,None,57.567958981730044,None,59.56210428290069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
4,fogó,limonádé,0,3,3,3,,,,,,,,,,,,,63.55527737736702,None,64.56559813115746,None,66.54596397420391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
5,mocsár,ananász,0,4,4,4,,,,,,,,,,,,,70.55345985479653,None,71.56413951003924,None,73.54497217433527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
6,karton,hentes,0,5,5,5,,,,,,,,,,,,,77.55568759515882,None,78.56703342637047,None,80.55331865791231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
7,menta,triatlon,0,6,6,6,,,,,,,,,,,,,84.55424141464755,None,85.56172640994191,None,87.54032729100436,91.53855704143643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
8,pelikán,kakaó,0,7,7,7,,,,,,,,,,,,,91.55465380940586,None,92.56886432226747,None,94.54025171650574,98.53818569937721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
9,csavarhúzó,hering,0,8,8,8,,,,,,,,,,,,,98.55415402166545,None,99.56613741628826,None,101.55506620416418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
10,szalvéta,puska,0,9,9,9,,,,,,,,,,,,,105.56686983676627,None,106.57139529380947,None,108.55453282780945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
11,szilva,kecske,0,10,10,10,,,,,,,,,,,,,112.55515328561887,None,113.5601505395025,None,115.55858710967004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
12,koktél,tolltartó,0,11,11,11,,,,,,,,,,,,,119.55527084646747,None,120.56658091163263,None,122.554745556321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
13,tenisz,pizsama,0,12,12,12,,,,,,,,,,,,,126.56482310267165,None,127.56989810802042,None,129.55291777057573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
14,lándzsa,fénymásoló,0,13,13,13,,,,,,,,,,,,,133.56842518085614,None,134.5701577984728,None,136.55341911315918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
15,málna,dominó,0,14,14,14,,,,,,,,,,,,,140.55540271289647,None,141.5600351560861,None,143.539694392588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
,,,,,,,,,,,,,,,,,,,,,,,,,147.55276195611805,None,u,32.05911208875477,147.55276195611805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.64767867792398,None,4,38.053869450464845,179.64767867792398,None,,,,,,,,,,,,,,,,,,,,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
13,tenisz,pizsama,,,,,0,0,0,12,,,,,,,217.7266289438121,None,221.74425959587097,None,,,,,,,,,,,,,,,,,pizsama,222.74708913406357,None,None,222.74708913406357,None,222.74708913406357,None,222.74708913406357,None," 
",237.7618914921768,None,237.7618914921768,None,return,5.017372827976942,237.7618914921768,None,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
1,bagoly,kirakó,,,,,0,1,1,0,,,,,,,,,242.83503868617117,None,,,,,,,,,,,,,,,,,kirakó,243.8552223914303,None,4,243.8552223914303,None,243.8552223914303,None,243.8552223914303,None," bagoly
",246.03540841070935,None,246.03540841070935,None,return,5.303846280556172,246.03540841070935,None,2.127273224759847,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
14,lándzsa,fénymásoló,,,,,0,2,2,13,,,,,,,,,251.38492476427928,None,,,,,,,,,,,,,,,,,lándzsa,252.40645139617845,None,4,252.40645139617845,None,252.40645139617845,None,252.40645139617845,None, fesztivál,265.6137599889189,None,265.6137599889189,None,return,6.013095243368298,265.6137599889189,None,13.171577668283135,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
12,koktél,tolltartó,,,,,0,3,3,11,,,,,,,,,271.64949899958447,None,,,,,,,,,,,,,,,,,tolltartó,272.6686486080289,None,4,272.6686486080289,None,272.6686486080289,None,272.6686486080289,None," 
kirakó",274.634468362201,None,274.634468362201,None,return,4.128618950024247,274.634468362201,None,1.9362707077525556,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
4,fogó,limonádé,,,,,0,4,4,3,,,,,,,,,278.78572050575167,None,,,,,,,,,,,,,,,,,fogó,279.81786801246926,None,4,279.81786801246926,None,279.81786801246926,None,279.81786801246926,None," 
lándzsa",282.15472017787397,None,282.15472017787397,None,return,4.496064211707562,282.15472017787397,None,2.296031306963414,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
6,karton,hentes,,,,,0,5,5,5,,,,,,,,,286.68332718592137,None,,,,,,,,,,,,,,,,,hentes,287.69125536549836,None,4,287.69125536549836,None,287.69125536549836,None,287.69125536549836,None," 
kötény
",293.21539694070816,None,293.21539694070816,None,return,3.6912880213931203,293.21539694070816,None,5.490432815160602,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
11,szilva,kecske,,,,,0,6,6,10,,,,,,,,,296.9475297681056,None,,,,,,,,,,,,,,,,,szilva,297.96730636572465,None,4,297.96730636572465,None,297.96730636572465,None,297.96730636572465,None, kirakó,304.25135769927874,None,304.25135769927874,None,return,4.911084772087634,304.25135769927874,None,6.246598676778376,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
3,hárfa,elefánt,,,,,0,7,7,2,,,,,,,,,309.1868253876455,None,,,,,,,,,,,,,,,,,hárfa,310.20551874954253,None,None,310.20551874954253,None,310.20551874954253,None,310.20551874954253,None," 

",325.2168036233634,None,325.2168036233634,None,return,3.1293684761039913,325.2168036233634,None,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
15,málna,dominó,,,,,0,8,8,14,,,,,,,,,328.3855505096726,None,,,,,,,,,,,,,,,,,dominó,329.4035273124464,None,4,329.4035273124464,None,329.4035273124464,None,329.4035273124464,None, málna,333.93255791114643,None,333.93255791114643,None,return,3.565663442481309,333.93255791114643,None,4.490572768263519,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
8,pelikán,kakaó,,,,,0,9,9,7,,,,,,,,,337.5329806935042,None,,,,,,,,,,,,,,,,,pelikán,338.55260116560385,None,None,338.55260116560385,None,338.55260116560385,None,338.55260116560385,None," 
",353.5585112241097,None,353.5585112241097,None,return,2.7874904442578554,353.5585112241097,None,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
7,menta,triatlon,,,,,0,10,10,6,,,,,,,,,356.38355291448534,None,,,,,,,,,,,,,,,,,menta,357.4007755261846,None,None,357.4007755261846,None,357.4007755261846,None,357.4007755261846,None," 
",372.38748559262604,None,372.38748559262604,None,return,3.430307156406343,372.38748559262604,None,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
10,szalvéta,puska,,,,,0,11,11,9,,,,,,,,,375.8410218306817,None,,,,,,,,,,,,,,,,,szalvéta,376.8701295591891,None,4,376.8701295591891,None,376.8701295591891,None,376.8701295591891,None," 
papír",380.126875447575,None,380.126875447575,None,return,5.4509825627319515,380.126875447575,None,3.230477960780263,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
2,kötény,tisztás,,,,,0,12,12,1,,,,,,,,,385.60558797977865,None,,,,,,,,,,,,,,,,,tisztás,386.6160231838003,None,4,386.6160231838003,None,386.6160231838003,None,386.6160231838003,None," 
kötény",391.4138465109281,None,391.4138465109281,None,return,3.8597665089182556,391.4138465109281,None,4.75739371497184,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
5,mocsár,ananász,,,,,0,13,13,4,,,,,,,,,395.30178275192156,None,,,,,,,,,,,,,,,,,mocsár,396.3113449602388,None,None,396.3113449602388,None,396.3113449602388,None,396.3113449602388,None," 
",411.3222578703426,None,411.3222578703426,None,return,2.959095169790089,411.3222578703426,None,,,,681251,2022_Mar_07_1452,palt,2021.1.2,60.00462806157539,
