itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.828373192809522,None,4,61.143990762066096,15.828373192809522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,76.9976052492857,None,80.06089633330703,None,81.02140907105058,None,81.02140907105058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,86.99532650411129,None,88.01252858899534,None,88.01252858899534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,93.99846238316968,None,95.01638724794611,None,95.01638724794611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,101.0105369030498,None,102.02400411013514,None,102.02400411013514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.99827018100768,None,4,5.734701741486788,107.99827018100768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,113.77543334104121,None,,,,,,,,,,,sapka,114.79185200063512,None,4,3.1561648035421968,114.79185200063512,None,114.79185200063512,None,114.79185200063512,None, beton,118.01569712441415,None,118.01569712441415,None,return,3.0725376210175455,118.01569712441415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,121.16006575897336,None,,,,,,,,,,,lepke,122.15154542261735,None,4,1.1382433604449034,122.15154542261735,None,122.15154542261735,None,122.15154542261735,None," 
szintetizátor",123.33702446287498,None,123.33702446287498,None,return,4.838959546294063,123.33702446287498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,128.19824057351798,None,,,,,,,,,,,szikla,129.21046686405316,None,4,1.1421760385856032,129.21046686405316,None,129.21046686405316,None,129.21046686405316,None," 
majoránna",130.4033581246622,None,130.4033581246622,None,return,6.460706805810332,130.4033581246622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,136.89658377924934,None,,,,,,,,,,,kard,137.91370469145477,None,4,1.5649854480288923,137.91370469145477,None,137.91370469145477,None,137.91370469145477,None," 
harcsa",139.51715916628018,None,139.51715916628018,None,return,2.6904769162647426,139.51715916628018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
