itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,16.76021162199322,None,4,107.80677909380756,16.76021162199322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,124.59611159702763,None,127.62591513979714,None,128.62750936450902,None,128.62750936450902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,134.61229860712774,None,135.61663405236322,None,135.61663405236322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,141.61041576741263,None,142.60877706855536,None,142.60877706855536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,148.61278035782743,None,149.61438360169996,None,149.61438360169996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.61079550755676,None,4,11.670504292589612,155.61079550755676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,167.31738320738077,None,,,,,,,,,,,kard,168.33295224548783,None,4,4.3195459538837895,168.33295224548783,None,168.33295224548783,None,168.33295224548783,None, harcsa,172.71408671385143,None,172.71408671385143,None,down,9.000116005772725,172.71408671385143,None,181.76951447990723,None,4,2.7539463747525588,181.76951447990723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,184.56414966180455,None,,,,,,,,,,,lepke,185.582360087079,None,None,,185.582360087079,None,185.582360087079,None,185.582360087079,None, szimulátor,200.57604196865577,None,200.57604196865577,None,down,5.009831259725615,200.57604196865577,None,205.63655750721227,None,4,6.136424706899561,205.63655750721227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,211.79799624055158,None,,,,,,,,,,,beton,212.82282055239193,None,4,12.6742062154226,212.82282055239193,None,212.82282055239193,None,212.82282055239193,None, ,225.52421287097968,None,225.52421287097968,None,down,1.7256166968727484,225.52421287097968,None,227.28513887734152,None,4,2.9886398271191865,227.28513887734152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,230.29617871239316,None,,,,,,,,,,,szikla,231.32569861633237,None,4,11.632913120673038,231.32569861633237,None,231.32569861633237,None,231.32569861633237,None, ,243.0018626243109,None,243.0018626243109,None,down,1.815719006001018,243.0018626243109,None,244.8412692093989,None,4,2.157301399856806,244.8412692093989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,220502,2022_Apr_20_1613,palt,2021.1.2,59.737555440281206,
