itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,48.46087288390845,None,4,8.569435330107808,48.46087288390845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,57.06757862120867,None,60.22025952907279,None,61.09150529047474,None,61.09150529047474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,67.08221956714988,None,68.0967090530321,None,68.0967090530321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,74.08168836776167,None,75.10403201403096,None,75.10403201403096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,81.08139446657151,None,82.08548389235511,None,82.08548389235511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0677303923294,None,4,8.323493499774486,88.0677303923294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,96.43343028472736,None,,,,,,,,,,,beton,97.45740547124296,None,None,97.45740547124296,None,97.45740547124296,None,97.45740547124296,None, ,112.54068121640012,None,112.54068121640012,None,down,3.763144537806511,112.54068121640012,None,116.36825418937951,None,4,5.8237407500855625,116.36825418937951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,122.25816283468157,None,,,,,,,,,,,kard,123.23202055413276,None,4,123.23202055413276,None,123.23202055413276,None,123.23202055413276,None,harcsa,126.79181063687429,None,126.79181063687429,None,down,3.5437853732146323,126.79181063687429,None,130.38471110304818,None,4,2.7108204788528383,130.38471110304818,None,3.5154221947304904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,133.1238502864726,None,,,,,,,,,,,szintetizátor,134.1473978389986,None,4,134.1473978389986,None,134.1473978389986,None,134.1473978389986,None,,144.43259087763727,None,144.43259087763727,None,down,1.358794302213937,144.43259087763727,None,145.84097051480785,None,4,5.027395637240261,145.84097051480785,None,10.247283513192087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,150.90707216551527,None,,,,,,,,,,,majoránna,151.93384050251916,None,None,151.93384050251916,None,151.93384050251916,None,151.93384050251916,None, ,166.91942192614079,None,166.91942192614079,None,down,3.319831086322665,166.91942192614079,None,170.26284099556506,None,4,1.7521678716875613,170.26284099556506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357990,2022_Jun_29_1246,palt,2021.1.2,59.86464499308047,
