itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,24.44974413467571,None,4,68.47192916739732,24.44974413467571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,92.95985309313983,None,95.98651257762685,None,96.99235265888274,None,96.99235265888274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,102.96428213780746,None,103.99585832515731,None,103.99585832515731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,109.97885777242482,None,111.005256944336,None,111.005256944336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,116.96383615443483,None,117.9757290459238,None,117.9757290459238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.96036127768457,None,4,17.185453848913312,123.96036127768457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,141.19625386362895,None,,,,,,,,,,,kard,142.20066953497007,None,None,142.20066953497007,None,142.20066953497007,None,142.20066953497007,None, harcsa,157.19362710183486,None,157.19362710183486,None,down,8.409896416123956,157.19362710183486,None,165.65817235130817,None,4,4.270306708756834,165.65817235130817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,169.98006323399022,None,,,,,,,,,,,majoránna,170.99850716860965,None,4,170.99850716860965,None,170.99850716860965,None,170.99850716860965,None,szikla,174.12839253759012,None,174.12839253759012,None,down,3.891114728525281,174.12839253759012,None,178.049304807093,None,4,2.022125630173832,178.049304807093,None,3.1000741440802813,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
1,sapka,beton,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,180.10094931628555,None,,,,,,,,,,,beton,181.12028024159372,None,4,181.12028024159372,None,181.12028024159372,None,181.12028024159372,None,sapka,182.66308874310926,None,182.66308874310926,None,down,1.8362217554822564,182.66308874310926,None,184.53789677424356,None,4,1.4805151266045868,184.53789677424356,None,1.5090562007389963,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,186.04727953206748,None,,,,,,,,,,,szintetizátor,187.05717265140265,None,4,187.05717265140265,None,187.05717265140265,None,187.05717265140265,None,lepke,189.37116987630725,None,189.37116987630725,None,down,2.0240495172329247,189.37116987630725,None,191.43286953959614,None,4,7.541372272651643,191.43286953959614,None,2.2852092110551894,,,,,,,,,,,,,,,,,,,,,,,,,,,421568,2022_Jun_18_1226,palt,2021.1.2,51.02216790967118,
