itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,37.485823400027584,None,4,53.51468619998195,37.485823400027584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,91.01334630002384,None,94.02726040000562,None,95.02243760001147,None,95.02243760001147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,101.01810939999996,None,102.0216916000063,None,102.0216916000063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,108.01726130000316,None,109.01835160001065,None,109.01835160001065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,115.0175344000163,None,116.02152560002287,None,116.02152560002287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.026623200014,None,4,17.774047200015048,122.026623200014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,139.8170562000014,None,,,,,,,,,,,kard,140.82010950002586,None,4,1.7964592999778688,140.82010950002586,None,140.82010950002586,None,140.82010950002586,None,harcsa,142.63720140000805,None,142.63720140000805,None,down,2.0840131000149995,142.63720140000805,None,144.7499630000093,None,4,1.5944599999929778,144.7499630000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,146.35468420002144,None,,,,,,,,,,,szintetizátor,147.36361650002073,None,4,4.844719999993686,147.36361650002073,None,147.36361650002073,None,147.36361650002073,None,lepke,152.22968590000528,None,152.22968590000528,None,down,1.434957100020256,152.22968590000528,None,153.68589550000615,None,4,1.9466174999834038,153.68589550000615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,155.65343310000026,None,,,,,,,,,,,majoránna,156.66261690002284,None,4,7.441916699986905,156.66261690002284,None,156.66261690002284,None,156.66261690002284,None,,164.12457060001907,None,164.12457060001907,None,down,0.8998041999875568,164.12457060001907,None,165.04084660002263,None,4,0.6320637000026181,165.04084660002263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,165.68723940002383,None,,,,,,,,,,,sapka,166.693786000018,None,4,2.3546987999870908,166.693786000018,None,166.693786000018,None,166.693786000018,None, beton,169.07211780000944,None,169.07211780000944,None,down,2.8885213999892585,169.07211780000944,None,171.9896680000238,None,4,1.0829652000102215,171.9896680000238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568568,2022_Apr_28_1204,palt,2021.1.2,118.97411005764394,
