itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,25.05084792675916,None,4,95.10123898566235,25.05084792675916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,120.17586705368012,None,123.19191371952184,None,124.19842369714752,None,124.19842369714752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,130.19017612887546,None,131.19232207036112,None,131.19232207036112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,137.1879241344286,None,138.2029721599538,None,138.2029721599538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,144.19382018630859,None,145.21049446228426,None,145.21049446228426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.18879401823506,None,4,15.962833849480376,151.18879401823506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,167.18937684351113,None,,,,,,,,,,,beton,168.20621968468186,None,4,14.204035489470698,168.20621968468186,None,168.20621968468186,None,168.20621968468186,None,sapka,182.4739790605381,None,182.4739790605381,None,down,2.2602414276916534,182.4739790605381,None,184.78045806207228,None,4,9.577495854231529,184.78045806207228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,194.39003325277008,None,,,,,,,,,,,kard,195.41063802258577,None,4,7.865305787301622,195.41063802258577,None,195.41063802258577,None,195.41063802258577,None, harcsa,203.31173935707193,None,203.31173935707193,None,down,5.1340056454064324,203.31173935707193,None,208.4795830778312,None,4,1.5992491692304611,208.4795830778312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,210.12190782278776,None,,,,,,,,,,,szintetizátor,211.1491003218107,None,None,,211.1491003218107,None,211.1491003218107,None,211.1491003218107,None, ,226.1400152144488,None,226.1400152144488,None,down,3.56945541605819,226.1400152144488,None,229.75019904389046,None,4,2.746373981004581,229.75019904389046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,232.5220260672504,None,,,,,,,,,,,szikla,233.536769617931,None,4,11.534595063887537,233.536769617931,None,233.536769617931,None,233.536769617931,None, ,245.1184254885884,None,245.1184254885884,None,down,1.551001874729991,245.1184254885884,None,246.70070617028978,None,4,27.805394212598912,246.70070617028978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.5369472024031,None,4,7.602017433731817,274.5369472024031,None,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,286.18801432615146,None,287.18976062489673,None,287.18976062489673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1718830667669,None,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,293.1870060446672,None,294.2043978115544,None,294.2043978115544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
10,málna,dominó,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,300.1850302235689,None,301.1994515720289,None,301.1994515720289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,307.1861918310169,None,308.19189848017413,None,308.19189848017413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
5,karton,hentes,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,314.1857107046526,None,315.1946343999589,None,315.1946343999589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,321.18499445787165,None,322.200662629446,None,322.200662629446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,328.1871204948984,None,329.2039745323127,None,329.2039745323127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,335.1834008630831,None,336.19859786052257,None,336.19859786052257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,342.1831480151741,None,343.2056169550633,None,343.2056169550633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,349.1852594349766,None,350.2023081621155,None,350.2023081621155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,0,0,2,,,,,,,,,372.90903043258004,None,,,,,,,,,,,limonádé,373.8987787415972,None,None,,373.8987787415972,None,373.8987787415972,None,373.8987787415972,None, fecske,388.881017188658,None,388.881017188658,None,down,4.730438655242324,388.881017188658,None,393.65025477611925,None,4,5.062400866881944,393.65025477611925,None,,,,,,,368.87324981368147,None,356.1879319095751,None,u,2.28807522112038,356.1879319095751,None,358.5281771440059,None,4,10.32546778419055,358.5281771440059,None,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,398.75199323752895,None,,,,,,,,,,,kirakó,399.7696779719554,None,4,6.242848727968521,399.7696779719554,None,399.7696779719554,None,399.7696779719554,None, bagoly,406.05236719106324,None,406.05236719106324,None,down,2.5029088391456753,406.05236719106324,None,408.5957898495253,None,4,2.4177152753109112,408.5957898495253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,411.0454665898578,None,,,,,,,,,,,szalvéta,412.0670025116997,None,None,,412.0670025116997,None,412.0670025116997,None,412.0670025116997,None, pacal,427.0710745132528,None,427.0710745132528,None,down,2.7799417921341956,427.0710745132528,None,429.9040235468419,None,4,1.640888519352302,429.9040235468419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,431.57029979734216,None,,,,,,,,,,,hentes,432.59820201213006,None,None,,432.59820201213006,None,432.59820201213006,None,432.59820201213006,None, kecske,447.5994419930503,None,447.5994419930503,None,down,2.683249092195183,447.5994419930503,None,450.3087107805768,None,4,2.1919239825801924,450.3087107805768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,452.5242068413645,None,,,,,,,,,,,hering,453.5490101922769,None,4,14.075468095135875,453.5490101922769,None,453.5490101922769,None,453.5490101922769,None, ,467.657225042698,None,467.657225042698,None,down,1.473209009738639,467.657225042698,None,469.17209081875626,None,4,2.426494352752343,469.17209081875626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
9,szilva,kecske,,,,,,,,,0,0,0,0,,,,,0,5,5,8,,,,,,,,,471.62550398521125,None,,,,,,,,,,,szilva,472.6470762947574,None,4,5.038227614131756,472.6470762947574,None,472.6470762947574,None,472.6470762947574,None, kecske,477.7080527540529,None,477.7080527540529,None,down,2.510298030800186,477.7080527540529,None,480.24919387244154,None,4,1.6020696827908978,480.24919387244154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,6,6,5,,,,,,,,,481.8854627085384,None,,,,,,,,,,,triatlon,482.8918666332029,None,4,11.19823553855531,482.8918666332029,None,482.8918666332029,None,482.8918666332029,None, ,494.1352919662604,None,494.1352919662604,None,down,1.4268224640982226,494.1352919662604,None,495.6045987836551,None,4,3.5074781393632293,495.6045987836551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,7,7,9,,,,,,,,,499.14676715480164,None,,,,,,,,,,,dominó,500.1639346862212,None,None,,500.1639346862212,None,500.1639346862212,None,500.1639346862212,None, ,515.1514558813069,None,515.1514558813069,None,down,1.8185112018836662,515.1514558813069,None,516.9927274355432,None,4,2.5331320917466655,516.9927274355432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,8,8,1,,,,,,,,,519.5587039384991,None,,,,,,,,,,,tisztás,520.578795548412,None,4,9.95271558011882,520.578795548412,None,520.578795548412,None,520.578795548412,None, ,530.5732686606934,None,530.5732686606934,None,down,1.2923388024792075,530.5732686606934,None,531.8922441944014,None,4,4.008464028476737,531.8922441944014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,9,9,3,,,,,,,,,535.9286813469371,None,,,,,,,,,,,mocsár,536.9461894300766,None,4,9.050115507678129,536.9461894300766,None,536.9461894300766,None,536.9461894300766,None, ,546.0413389181485,None,546.0413389181485,None,down,1.3600071780383587,546.0413389181485,None,547.4392222735332,None,4,37.661932118586265,547.4392222735332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,905303,2022_May_09_1547,palt,2021.1.2,54.00755179326402,
