itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,29.498886285349727,None,4,62.60557927144691,29.498886285349727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,92.13053754996508,None,95.31648372253403,None,96.15204583248124,None,96.15204583248124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,102.14036909025162,None,103.16025951644406,None,103.16025951644406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,109.1386778363958,None,110.15483276266605,None,110.15483276266605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
1,sapka,beton,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,116.13935334281996,None,117.15473572863266,None,117.15473572863266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.13942674035206,None,4,8.421624785289168,123.13942674035206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,131.60091168479994,None,,,,,,,,,,,kard,132.61240897607058,None,4,14.199389742687345,132.61240897607058,None,132.61240897607058,None,132.61240897607058,None, harcsa,146.94274741970003,None,146.94274741970003,None,down,12.756825817283243,146.94274741970003,None,159.7743006553501,None,4,33.95105191739276,159.7743006553501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,193.7864488833584,None,,,,,,,,,,,szintetizátor,194.8039122140035,None,None,,194.8039122140035,None,194.8039122140035,None,194.8039122140035,None, ,209.7953178579919,None,209.7953178579919,None,down,2.1436623386107385,209.7953178579919,None,211.9890258219093,None,4,5.81994522549212,211.9890258219093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,217.8543873387389,None,,,,,,,,,,,majoránna,218.87037743162364,None,None,,218.87037743162364,None,218.87037743162364,None,218.87037743162364,None, ,233.8575369026512,None,233.8575369026512,None,down,2.5773019306361675,233.8575369026512,None,236.46358268382028,None,4,8.530044169165194,236.46358268382028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,245.0318638687022,None,,,,,,,,,,,sapka,246.05589472549036,None,4,7.308594729285687,246.05589472549036,None,246.05589472549036,None,246.05589472549036,None,beton,253.4093832555227,None,253.4093832555227,None,down,2.865277234464884,253.4093832555227,None,256.3271300997585,None,4,3.2103521027602255,256.3271300997585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.5756193851121,None,4,80.01305170217529,259.5756193851121,None,,,,,,,,,,,,,,,,,,,,,,,954830,2022_Jun_15_1008,palt,2021.1.2,59.82655060240474,
