itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.53158427402377,None,4,30.32897188095376,17.53158427402377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,47.90718163968995,None,50.93452782696113,None,51.9430260816589,None,51.9430260816589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,57.92021001689136,None,58.94205791829154,None,58.94205791829154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,64.9142097667791,None,65.92993581481278,None,65.92993581481278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,71.91829297225922,None,72.94589107437059,None,72.94589107437059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.93227147404104,None,4,34.218246694188565,78.93227147404104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,113.19183757016435,None,,,,,,,,,,,beton,114.20304811373353,None,4,7.88606398133561,114.20304811373353,None,114.20304811373353,None,114.20304811373353,None,sapka,122.15098623326048,None,122.15098623326048,None,down,2.0478978133760393,122.15098623326048,None,124.2491150307469,None,4,8.945666216313839,124.2491150307469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,133.22733523976058,None,,,,,,,,,,,szikla,134.24600465409458,None,4,2.4937546770088375,134.24600465409458,None,134.24600465409458,None,134.24600465409458,None,majoránna,136.76761152548715,None,136.76761152548715,None,down,2.9031453961506486,136.76761152548715,None,139.69508261280134,None,4,15.295342738740146,139.69508261280134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,155.03842175379395,None,,,,,,,,,,,harcsa,156.06064286315814,None,None,,156.06064286315814,None,156.06064286315814,None,156.06064286315814,None, ,171.04743192531168,None,171.04743192531168,None,down,3.1992267756722867,171.04743192531168,None,174.2900749091059,None,4,1.5781858111731708,174.2900749091059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,175.90469887433574,None,,,,,,,,,,,lepke,176.92947148159146,None,4,4.20374756725505,176.92947148159146,None,176.92947148159146,None,176.92947148159146,None,szintetizátor,181.16611514845863,None,181.16611514845863,None,down,4.360061653889716,181.16611514845863,None,185.56197303859517,None,4,15.290105076506734,185.56197303859517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,997941,2022_Jun_21_1516,palt,2021.1.2,53.7871909103679,
