itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,38.948716569226235,None,4,132.08300268137828,38.948716569226235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,171.06564229400828,None,174.07827569264919,None,175.0963153182529,None,175.0963153182529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,181.06931061670184,None,182.09195376187563,None,182.09195376187563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,188.07193457894027,None,189.09015334490687,None,189.09015334490687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,195.07284520659596,None,196.08735584048554,None,196.08735584048554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.07210936490446,None,4,12.82403838308528,202.07210936490446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,214.94851596979424,None,,,,,,,,,,,szikla,215.9506339249201,None,4,4.876463830471039,215.9506339249201,None,215.9506339249201,None,215.9506339249201,None," majoranna
",220.88473598333076,None,220.88473598333076,None,return,7.323892520740628,220.88473598333076,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,228.26377308228984,None,,,,,,,,,,,kard,229.2853644033894,None,4,5.129411394707859,229.2853644033894,None,229.2853644033894,None,229.2853644033894,None, harcsa,234.44453166471794,None,234.44453166471794,None,return,4.3563448139466345,234.44453166471794,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,238.82174408761784,None,,,,,,,,,,,lepke,239.8409338160418,None,4,5.774534842930734,239.8409338160418,None,239.8409338160418,None,239.8409338160418,None," 
szikla
",245.64092610310763,None,245.64092610310763,None,return,3.7034437134861946,245.64092610310763,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,249.37878642743453,None,,,,,,,,,,,beton,250.405590841081,None,None,,250.405590841081,None,250.405590841081,None,250.405590841081,None, ,265.39066097000614,None,265.39066097000614,None,return,4.033719955943525,265.39066097000614,None,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
