itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.129068043548614,None,4,38.010779798962176,10.129068043548614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,48.16581595968455,None,51.177207509055734,None,52.18318909872323,None,52.18318909872323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,58.16009685955942,None,59.18631409294903,None,59.18631409294903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,65.16015004180372,None,66.17545996326953,None,66.17545996326953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,72.16376020619646,None,73.17388440389186,None,73.17388440389186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.16059415927157,None,4,8.325853417627513,79.16059415927157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,87.53278507012874,None,,,,,,,,,,,beton,88.54728637402877,None,4,7.233005511574447,88.54728637402877,None,88.54728637402877,None,88.54728637402877,None,"sárga
",95.84701150655746,None,95.84701150655746,None,return,6.6682645147666335,95.84701150655746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,102.5616570552811,None,,,,,,,,,,,harcsa,103.56896913144737,None,4,12.815401419531554,103.56896913144737,None,103.56896913144737,None,103.56896913144737,None, ,116.42300472175702,None,116.42300472175702,None,return,1.4524452267214656,116.42300472175702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,117.91166262235492,None,,,,,,,,,,,majoránna,118.93428493058309,None,4,10.185932176653296,118.93428493058309,None,118.93428493058309,None,118.93428493058309,None, szines,129.15989221725613,None,129.15989221725613,None,return,2.2510466929525137,129.15989221725613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,131.43987216381356,None,,,,,,,,,,,lepke,132.46024402789772,None,4,7.160431502852589,132.46024402789772,None,132.46024402789772,None,132.46024402789772,None,"szarka
",139.662177182734,None,139.662177182734,None,return,2.4686458711512387,139.662177182734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.16797341266647,None,4,30.802458568941802,142.16797341266647,None,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
14,lándzsa,fénymásoló,,,,,,,,,0,0,0,0,0,0,0,13,,,,,,,,,,,,,177.02712288405746,None,178.0317889158614,None,178.0317889158614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0143849872984,None,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
15,málna,dominó,,,,,,,,,0,0,0,0,0,1,1,14,,,,,,,,,,,,,184.0124054304324,None,185.01859383936971,None,185.01859383936971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
9,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,191.0251996195875,None,192.02939540939406,None,192.02939540939406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,198.01070515764877,None,199.0385601511225,None,199.0385601511225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
5,mocsár,ananász,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,205.01117757661268,None,206.02775764884427,None,206.02775764884427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
11,szilva,kecske,,,,,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,212.01013103919104,None,213.0260862992145,None,213.0260862992145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
4,fogó,limonádé,,,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,219.01298576872796,None,220.02951483568177,None,220.02951483568177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
6,karton,hentes,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,226.01073843520135,None,227.03456869302318,None,227.03456869302318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
8,pelikán,kakaó,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,233.0104961609468,None,234.03297913819551,None,234.03297913819551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
12,koktél,tolltartó,,,,,,,,,0,0,0,0,0,9,9,11,,,,,,,,,,,,,240.02477540634573,None,241.0182837662287,None,241.0182837662287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,10,10,0,,,,,,,,,,,,,247.0097892433405,None,248.04019977804273,None,248.04019977804273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
7,menta,triatlon,,,,,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,254.0107110668905,None,255.01935114059597,None,255.01935114059597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
10,szalvéta,puska,,,,,,,,,0,0,0,0,0,12,12,9,,,,,,,,,,,,,261.0095410598442,None,262.03990836488083,None,262.03990836488083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
13,tenisz,pizsama,,,,,,,,,0,0,0,0,0,13,13,12,,,,,,,,,,,,,268.0104933618568,None,269.02255015447736,None,269.02255015447736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
3,hárfa,elefánt,,,,,,,,,0,0,0,0,0,14,14,2,,,,,,,,,,,,,275.0103782895021,None,276.0176797914319,None,276.0176797914319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.12139488942921,282.0586776123382,None,282.0586776123382,None,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
6,karton,hentes,,,,,,,,,1,0,1,0,0,0,0,5,,,,,,,,,,,,,300.2345390850678,None,301.24031945317984,None,301.24031945317984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
7,menta,triatlon,,,,,,,,,1,0,1,0,0,1,1,6,,,,,,,,,,,,,307.2101387521252,None,308.2411507740617,None,308.2411507740617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
15,málna,dominó,,,,,,,,,1,0,1,0,0,2,2,14,,,,,,,,,,,,,314.22391852131113,None,315.24176750006154,None,315.24176750006154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
13,tenisz,pizsama,,,,,,,,,1,0,1,0,0,3,3,12,,,,,,,,,,,,,321.20970396511257,None,322.2395618413575,None,322.2395618413575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133330,2022_Mar_25_1153,palt,2021.1.2,59.99220103828783,
