itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,34.25241326459218,None,4,140.9732268982334,34.25241326459218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,175.2518229719717,None,178.30663124495186,None,179.2789201438427,None,179.2789201438427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,185.26643287180923,None,186.2792330175871,None,186.2792330175871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,192.27548755134922,None,193.2723246025853,None,193.2723246025853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,199.27263872034382,None,200.2871326142922,None,200.2871326142922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.25570745870937,None,4,21.237255680025555,206.25570745870937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,227.54153290740214,None,,,,,,,,,,,majoránna,228.57214664388448,None,4,8.737984993262216,228.57214664388448,None,228.57214664388448,None,228.57214664388448,None, szikla,237.38222478772514,None,237.38222478772514,None,down,3.3034521237714216,237.38222478772514,None,240.80241273588035,None,4,3.7592868467327207,240.80241273588035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,244.61182718921918,None,,,,,,,,,,,harcsa,245.63604847248644,None,4,9.542723445105366,245.63604847248644,None,245.63604847248644,None,245.63604847248644,None,,255.2242851021001,None,255.2242851021001,None,down,3.125467055826448,255.2242851021001,None,258.4115319806151,None,4,1.4662385541014373,258.4115319806151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,259.92771993379574,None,,,,,,,,,,,lepke,260.9492251863703,None,4,11.590861223987304,260.9492251863703,None,260.9492251863703,None,260.9492251863703,None, ,272.5929602152901,None,272.5929602152901,None,down,1.8686160217039287,272.5929602152901,None,274.49667283915915,None,4,5.956415063468739,274.49667283915915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,280.5025549286511,None,,,,,,,,,,,beton,281.53514325327706,None,None,,281.53514325327706,None,281.53514325327706,None,281.53514325327706,None, sapka,296.5243926484836,None,296.5243926484836,None,down,3.553595031844452,296.5243926484836,None,300.1216820916161,None,4,31.592549995984882,300.1216820916161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.7477260668529,None,4,9.197657551849261,331.7477260668529,None,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,345.02800749160815,None,346.0049717698712,None,346.0049717698712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.98899032582995,None,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,352.0002341888612,None,353.03016930643935,None,353.03016930643935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,359.00064005400054,None,360.01793581666425,None,360.01793581666425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,366.009646216291,None,367.0117691551568,None,367.0117691551568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
10,málna,dominó,,,,,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,372.9903967027785,None,374.01641063473653,None,374.01641063473653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,380.01800019526854,None,381.0237790303072,None,381.0237790303072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,387.0134420657996,None,388.0174711711006,None,388.0174711711006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,393.99192375084385,None,395.0091818816727,None,395.0091818816727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,401.0014356117463,None,402.0076986857457,None,402.0076986857457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
5,karton,hentes,,,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,407.9917477205163,None,409.0089203241514,None,409.0089203241514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
9,szilva,kecske,,,,,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,429.01864398131147,None,,,,,,,,,,,szilva,430.0039681477938,None,4,1.9586443669395521,430.0039681477938,None,430.0039681477938,None,430.0039681477938,None, kecske,432.02455872669816,None,432.02455872669816,None,down,3.939937251037918,432.02455872669816,None,436.0098101173062,None,4,1.994669016217813,436.0098101173062,None,,,,,,,424.98422039998695,None,415.0139138645027,None,u,5.238624736201018,415.0139138645027,None,420.3278366861632,None,4,4.61197616183199,420.3278366861632,None,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,1,1,6,,,,,,,,,438.03789815993514,None,,,,,,,,,,,csavarhúzó,439.0620077913627,None,4,3.710340136778541,439.0620077913627,None,439.0620077913627,None,439.0620077913627,None, harcsa,442.8135626745643,None,442.8135626745643,None,down,3.822615488083102,442.8135626745643,None,446.6868410134921,None,4,2.6514386907219887,446.6868410134921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,449.37985273159575,None,,,,,,,,,,,szalvéta,450.40201110055204,None,4,6.253279110067524,450.40201110055204,None,450.40201110055204,None,450.40201110055204,None,,456.6986219868995,None,456.6986219868995,None,down,2.529454299598001,456.6986219868995,None,459.26476213813294,None,4,1.235506261466071,459.26476213813294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,460.5380620609503,None,,,,,,,,,,,kötény,461.5586983578978,None,4,2.81149291805923,461.5586983578978,None,461.5586983578978,None,461.5586983578978,None, triatlon,464.41299465007614,None,464.41299465007614,None,down,6.607390041695908,464.41299465007614,None,471.06144362327177,None,4,1.5959741913247854,471.06144362327177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,4,4,9,,,,,,,,,472.70349547825754,None,,,,,,,,,,,dominó,473.7279083422618,None,4,11.40314347972162,473.7279083422618,None,473.7279083422618,None,473.7279083422618,None, ,485.17429620504845,None,485.17429620504845,None,down,2.309840844827704,485.17429620504845,None,487.5167950403411,None,4,0.7143384523224086,487.5167950403411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,5,5,4,,,,,,,,,488.2802615201799,None,,,,,,,,,,,hentes,489.29501728271134,None,4,10.256257631350309,489.29501728271134,None,489.29501728271134,None,489.29501728271134,None, köntös,499.5990345075261,None,499.5990345075261,None,down,5.13277822593227,499.5990345075261,None,504.7757214291487,None,4,0.7145185258705169,504.7757214291487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,6,6,2,,,,,,,,,505.5226901920978,None,,,,,,,,,,,fogó,506.5461538605159,None,4,12.12252834357787,506.5461538605159,None,506.5461538605159,None,506.5461538605159,None, ,518.7233188010287,None,518.7233188010287,None,down,2.2167941695079207,518.7233188010287,None,520.9812819988001,None,4,0.914514233940281,520.9812819988001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,7,7,0,,,,,,,,,521.9303722078912,None,,,,,,,,,,,kirakó,522.9590962613001,None,4,5.250606309622526,522.9590962613001,None,522.9590962613001,None,522.9590962613001,None, bohóc,528.2577131476719,None,528.2577131476719,None,down,4.2984433439560235,528.2577131476719,None,532.5883541905787,None,4,0.732336159562692,532.5883541905787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,8,8,5,,,,,,,,,533.354452418047,None,,,,,,,,,,,menta,534.3874313683482,None,None,,534.3874313683482,None,534.3874313683482,None,534.3874313683482,None, ,549.3804436463397,None,549.3804436463397,None,down,2.391177767654881,549.3804436463397,None,551.8046862025512,None,4,0.7079183195019141,551.8046862025512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,198059,2022_Apr_07_1503,palt,2021.1.2,None,
