itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,16.306256321200635,None,4,54.70511405833531,16.306256321200635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,71.03796108195093,None,74.09027757908916,None,75.0586715938407,None,75.0586715938407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
3,majoránna,szikla,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,81.04769028280862,None,82.05956760214758,None,82.05956760214758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,88.05310427534278,None,89.06905639535398,None,89.06905639535398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,95.04710279247956,None,96.05732960291789,None,96.05732960291789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.06231440717238,None,4,32.46321109967539,102.06231440717238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,134.56452939196606,None,,,,,,,,,,,beton,135.56612423071056,None,None,135.56612423071056,None,135.56612423071056,None,135.56612423071056,None, ,150.61455750689493,None,150.61455750689493,None,down,4.0746856040204875,150.61455750689493,None,154.75416468144977,None,4,2.912960304412991,154.75416468144977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,157.71064498912892,None,,,,,,,,,,,harcsa,158.73107746164897,None,4,158.73107746164897,None,158.73107746164897,None,158.73107746164897,None, kard,161.30067034237436,None,161.30067034237436,None,down,3.3087642735918052,161.30067034237436,None,164.6478768242232,None,4,3.509169079072308,164.6478768242232,None,2.5223942984011956,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,168.19009184630704,None,,,,,,,,,,,majoránna,169.21048202199745,None,4,169.21048202199745,None,169.21048202199745,None,169.21048202199745,None, szikla,170.7139201934042,None,170.7139201934042,None,down,2.3271195370471105,170.7139201934042,None,173.07536795121268,None,4,1.9458952183485962,173.07536795121268,None,1.4756927036796696,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,175.05557770610903,None,,,,,,,,,,,lepke,176.06491597238346,None,4,176.06491597238346,None,176.06491597238346,None,176.06491597238346,None, ,181.41832951208926,None,181.41832951208926,None,down,1.510935593105387,181.41832951208926,None,182.97408884574543,None,4,3.7057027927367017,182.97408884574543,None,5.314990302838851,,,,,,,,,,,,,,,,,,,,,,,,,,,292991,2022_May_02_1025,palt,2021.1.2,59.97452076889107,
