itemno	wordA	wordB	enc_gyak.thisRepN	enc_gyak.thisTrialN	enc_gyak.thisN	enc_gyak.thisIndex	rec_gyak.thisRepN	rec_gyak.thisTrialN	rec_gyak.thisN	rec_gyak.thisIndex	repeat_task.thisRepN	repeat_task.thisTrialN	repeat_task.thisN	repeat_task.thisIndex	enc_loop.thisRepN	enc_loop.thisTrialN	enc_loop.thisN	enc_loop.thisIndex	test_loop.thisRepN	test_loop.thisTrialN	test_loop.thisN	test_loop.thisIndex	int.started	int.stopped	int_key.keys	int_key.rt	int_key.started	int_key.stopped	prepare_gyak_text.started	prepare_gyak_text.stopped	fix.started	fix.stopped	word1.started	word1.stopped	word2.started	word2.stopped	gykrec_inst.started	gykrec_inst.stopped	gyakrec_inst.keys	gyakrec_inst.rt	gyakrec_inst.started	gyakrec_inst.stopped	cueword	cueword1.started	cueword1.stopped	cue_resp.keys	cue_resp.rt	cue_resp.started	cue_resp.stopped	cue_cont_text.started	cue_cont_text.stopped	cue_space.started	cue_space.stopped	test_ansbox.text	test_ansbox.started	test_ansbox.stopped	ans_text.started	ans_text.stopped	ans_continue.keys	ans_continue.rt	ans_continue.started	ans_continue.stopped	main_prep.started	main_prep.stopped	main_prep_resp.keys	main_prep_resp.rt	main_prep_resp.started	main_prep_resp.stopped	preparation.started	preparation.stopped	break_text.started	break_text.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	test_instruction.started	test_instruction.stopped	test_i_key.keys	test_i_key.rt	test_i_key.started	test_i_key.stopped	rep_routine.keys	rep_routine.rt	rep_routine.started	rep_routine.stopped	encrep_textbox.started	encrep_textbox.stopped	Résztvevõ kódja	date	expName	psychopyVersion	frameRate
																							44.761151338228956	None	4	32.55386343150167	44.761151338228956	None																																																													309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
3	majoránna	szikla	0	0	0	2																							77.35641767593916	None	80.37403719776194	None	81.37536240176996	None	81.37536240176996	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
2	lepke	szintetizátor	0	1	1	1																									87.37000062823063	None	88.38944856458693	None	88.38944856458693	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
4	kard	harcsa	0	2	2	3																									94.37028146820376	None	95.37984122431953	None	95.37984122431953	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	sapka	beton	0	3	3	0																									101.37119240991888	None	102.38952476150007	None	102.38952476150007	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
																																					108.37272319002659	None	4	44.28579061591881	108.37272319002659	None																																															309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
3	majoránna	szikla					0	0	0	2																					152.7005931539752	None											szikla	153.712419223506	None	4	1.6121195364394225	153.712419223506	None	153.712419223506	None	153.712419223506	None	 majoránna	155.41654387043673	None	155.41654387043673	None	down	5.877896803896874	155.41654387043673	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
4	kard	harcsa					0	1	1	3																					161.32133817923022	None											harcsa	162.35105590239982	None	4	1.01958695682697	162.35105590239982	None	162.35105590239982	None	162.35105590239982	None	 kard	163.4209763528197	None	163.4209763528197	None	down	15.041509270813549	163.4209763528197	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
2	lepke	szintetizátor					0	2	2	1																					178.49048907210818	None											lepke	179.5082037623215	None	4	1.9641041079885326	179.5082037623215	None	179.5082037623215	None	179.5082037623215	None	 szikla	181.50619340824778	None	181.50619340824778	None	down	2.7162194271513727	181.50619340824778	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	sapka	beton					0	3	3	0																					184.24119988031453	None											sapka	185.2588505029271	None	4	1.8843775833083782	185.2588505029271	None	185.2588505029271	None	185.2588505029271	None	 beton	187.1723567607114	None	187.1723567607114	None	down	10.68180330999894	187.1723567607114	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
																																																															197.88105384350638	None	4	60.50963066588156	197.88105384350638	None																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
5	karton	hentes									0	0	0	0	0	0	0	4													262.4342790871451	None	263.4389155906101	None	263.4389155906101	None																																	258.42162978008855	None																			309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	bagoly	kirakó									0	0	0	0	0	1	1	0													269.4185436502448	None	270.4374958402477	None	270.4374958402477	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
7	csavarhúzó	hering									0	0	0	0	0	2	2	6													276.4390847788309	None	277.4395009072032	None	277.4395009072032	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
3	fogó	limonádé									0	0	0	0	0	3	3	2													283.4187451832695	None	284.43911681263126	None	284.43911681263126	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
