itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,23.7313555010478,None,4,96.95134217751911,23.7313555010478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,120.70460587454727,None,123.73536125838291,None,124.73351885878947,None,124.73351885878947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,130.71561579813715,None,131.7239473380032,None,131.7239473380032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,137.70116334909108,None,138.71382595860632,None,138.71382595860632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,144.71713350742357,None,145.73073753208155,None,145.73073753208155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.71545065392274,None,4,7.225650095846504,151.71545065392274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,158.99507677496877,None,,,,,,,,,,,szikla,160.00203149125446,None,4,3.5340672867605463,160.00203149125446,None,160.00203149125446,None,160.00203149125446,None,majoránna,163.59500020527048,None,163.59500020527048,None,down,5.399148216762114,163.59500020527048,None,169.056607135979,None,4,3.5613565086969174,169.056607135979,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
4,kard,harcsa,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,172.648700368125,None,,,,,,,,,,,harcsa,173.6671206317842,None,4,1.9038568476680666,173.6671206317842,None,173.6671206317842,None,173.6671206317842,None, kard,175.6198629583232,None,175.6198629583232,None,down,2.3179650752572343,175.6198629583232,None,177.97862051421544,None,4,1.7731833206489682,177.97862051421544,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,179.79734413314145,None,,,,,,,,,,,lepke,180.8167030129116,None,4,1.0244615553529002,180.8167030129116,None,180.8167030129116,None,180.8167030129116,None, szintetizátor,181.88109400717076,None,181.88109400717076,None,down,5.064713507483248,181.88109400717076,None,186.9760357433115,None,4,1.21676372125512,186.9760357433115,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,188.22930099535733,None,,,,,,,,,,,sapka,189.25465233885916,None,4,1.2271121350931935,189.25465233885916,None,189.25465233885916,None,189.25465233885916,None, beton,190.52198812458664,None,190.52198812458664,None,down,3.415672276809346,190.52198812458664,None,193.96334234421374,None,4,12.665184308367316,193.96334234421374,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.66550744365668,None,4,8.67885955341626,206.66550744365668,None,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,219.3871807057294,None,220.37668954016408,None,220.37668954016408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.36652679694816,None,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
10,málna,dominó,,,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,226.36460042576073,None,227.37082521093544,None,227.37082521093544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,233.36910285963677,None,234.38148431974696,None,234.38148431974696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,240.37174547766335,None,241.3879986514803,None,241.3879986514803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,247.36701321031433,None,248.3772166953422,None,248.3772166953422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,254.36524514120538,None,255.37505613663234,None,255.37505613663234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,261.3666913190973,None,262.37980271026026,None,262.37980271026026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,268.363985566888,None,269.3743601051974,None,269.3743601051974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,275.37432247342076,None,276.3796515613212,None,276.3796515613212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
5,karton,hentes,,,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,282.36714600987034,None,283.37843117379816,None,283.37843117379816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,305.8713060261798,None,,,,,,,,,,,ananász,306.8637031734106,None,4,1.219498397083953,306.8637031734106,None,306.8637031734106,None,306.8637031734106,None, mocsár,308.12376794975717,None,308.12376794975717,None,down,3.028483484929893,308.12376794975717,None,311.19257336325245,None,4,1.210533648962155,311.19257336325245,None,,,,,,,301.84489601827227,None,289.3656960998778,None,u,4.986826096603181,289.3656960998778,None,294.38726312230574,None,4,7.42024873016635,294.38726312230574,None,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,312.4388848320232,None,,,,,,,,,,,bagoly,313.4620507362997,None,4,1.3579218827653676,313.4620507362997,None,313.4620507362997,None,313.4620507362997,None, kirakó,314.8622541964287,None,314.8622541964287,None,down,2.641864456119947,314.8622541964287,None,317.5308234941913,None,4,1.3682363969273865,317.5308234941913,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,318.9321736334241,None,,,,,,,,,,,limonádé,319.95022100087954,None,4,1.4457179448800161,319.95022100087954,None,319.95022100087954,None,319.95022100087954,None, fogó,321.4507123903604,None,321.4507123903604,None,down,2.5015839535626583,321.4507123903604,None,323.9914706603158,None,4,0.6576887526316568,323.9914706603158,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,324.6761777486536,None,,,,,,,,,,,kötény,325.6968723992468,None,4,1.740017329226248,325.6968723992468,None,325.6968723992468,None,325.6968723992468,None, tisztás,327.4672482686583,None,327.4672482686583,None,down,3.0606505250325426,327.4672482686583,None,330.55839417647803,None,4,1.1214689933112822,330.55839417647803,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,331.7120964541682,None,,,,,,,,,,,menta,332.7281648904318,None,4,1.342716177168768,332.7281648904318,None,332.7281648904318,None,332.7281648904318,None, triatlon,334.1144312384422,None,334.1144312384422,None,down,3.1012672872748226,334.1144312384422,None,337.2570340228267,None,4,1.309696358628571,337.2570340228267,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,,,,338.59245462116087,None,,,,,,,,,,,málna,339.60297408822225,None,4,1.0318750053993426,339.60297408822225,None,339.60297408822225,None,339.60297408822225,None, dominó,340.6738511127187,None,340.6738511127187,None,down,2.9102862747968175,340.6738511127187,None,343.6229540470522,None,4,1.5926984498510137,343.6229540470522,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,6,6,7,,,,,,,,,345.2600097283139,None,,,,,,,,,,,puska,346.2813438072335,None,4,1.7143565348233096,346.2813438072335,None,346.2813438072335,None,346.2813438072335,None, szalvéta,348.03559152723756,None,348.03559152723756,None,down,3.4840205114451237,348.03559152723756,None,351.56884522229666,None,4,1.1657739757210948,351.56884522229666,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,7,7,6,,,,,,,,,352.7730760235572,None,,,,,,,,,,,csavarhúzó,353.78687504900154,None,4,1.8757260435377248,353.78687504900154,None,353.78687504900154,None,353.78687504900154,None, hering,355.7051684844191,None,355.7051684844191,None,down,2.2783366901567206,355.7051684844191,None,358.0131558650173,None,4,1.4463467990863137,358.0131558650173,None,,,,,,,,,,,,,,,,,,,,,697600,2022_May_03_1355,palt,2021.1.2,51.121473786512325,
