itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.1997681761859,None,4,38.88202484813519,17.1997681761859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
3,majoránna,szikla,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,56.128083469113335,None,59.16404540440999,None,60.17034825216979,None,60.17034825216979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,66.13676955574192,None,67.15796554810368,None,67.15796554810368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
1,sapka,beton,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,73.14510171767324,None,74.1696422684472,None,74.1696422684472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
2,lepke,szintetizátor,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,80.1353012964828,None,81.1607307024533,None,81.1607307024533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.15582427172922,None,4,22.57736523170024,87.15582427172922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,109.7818305316614,None,,,,,,,,,,,kard,110.80291518371087,None,4,1.758124720887281,110.80291518371087,None,110.80291518371087,None,110.80291518371087,None,harcsa,112.65447295061313,None,112.65447295061313,None,down,2.3006681653205305,112.65447295061313,None,115.04487598955166,None,4,1.8973033291986212,115.04487598955166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,116.97651469265111,None,,,,,,,,,,,beton,117.99818683508784,None,4,0.8957162655424327,117.99818683508784,None,117.99818683508784,None,117.99818683508784,None, sapka,118.92341010621749,None,118.92341010621749,None,down,1.791527698864229,118.92341010621749,None,120.74871492327657,None,4,1.2871222987305373,120.74871492327657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,122.0618105775211,None,,,,,,,,,,,majoránna,123.08244613697752,None,4,0.8652827729238197,123.08244613697752,None,123.08244613697752,None,123.08244613697752,None,szikla,123.99055381468497,None,123.99055381468497,None,down,1.9081440654117614,123.99055381468497,None,125.94079378689639,None,4,1.5380164409289137,125.94079378689639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
2,lepke,szintetizátor,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,127.50469961180352,None,,,,,,,,,,,lepke,128.5113946381025,None,4,3.0534103051759303,128.5113946381025,None,128.5113946381025,None,128.5113946381025,None, szintetizátor,131.60440875892527,None,131.60440875892527,None,down,4.358301310101524,131.60440875892527,None,135.98636736278422,None,4,3.1243035020306706,135.98636736278422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,775124,2022_May_07_1533,palt,2021.1.2,51.59007402516694,
