itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.13372194673866,None,space,1.7975238277576864,10.13372194673866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
1,bagoly,kirakó,0,0,0,0,,,,,,,,,,,11.960249315481633,None,15.97574366349727,None,16.97971832798794,None,18.964533120393753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
2,kötény,tisztás,0,1,1,1,,,,,,,,,,,,,22.975508542731404,None,23.976315293926746,None,25.952366853598505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
3,hárfa,elefánt,0,2,2,2,,,,,,,,,,,,,29.955505221150815,None,30.969758030958474,None,32.953726263251156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
4,fogó,limonádé,0,3,3,3,,,,,,,,,,,,,36.95439057331532,None,37.971977374050766,None,39.95842246292159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
5,mocsár,ananász,0,4,4,4,,,,,,,,,,,,,43.97816298389807,None,44.97761903330684,None,46.95580472052097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
6,karton,hentes,0,5,5,5,,,,,,,,,,,,,50.957054967060685,None,51.96873792912811,None,53.956811448559165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
7,menta,triatlon,0,6,6,6,,,,,,,,,,,,,57.974982941523194,None,58.97574646258727,None,60.96310559986159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
8,pelikán,kakaó,0,7,7,7,,,,,,,,,,,,,64.96893355250359,None,65.98145125666633,None,67.97234840458259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
9,csavarhúzó,hering,0,8,8,8,,,,,,,,,,,,,71.97249737707898,None,72.97237328533083,None,74.9487554449588,78.95292044524103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
10,szalvéta,puska,0,9,9,9,,,,,,,,,,,,,78.96981961000711,None,79.98239671671763,None,81.96990171587095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
11,szilva,kecske,0,10,10,10,,,,,,,,,,,,,85.9695639628917,None,86.97291661379859,None,88.95314063783735,92.95276245381683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
12,koktél,tolltartó,0,11,11,11,,,,,,,,,,,,,92.9694479573518,None,93.96016347780824,None,95.94008147157729,99.93996111210436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
13,tenisz,pizsama,0,12,12,12,,,,,,,,,,,,,99.95691190380603,None,100.97392520820722,None,102.96319859102368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
14,lándzsa,fénymásoló,0,13,13,13,,,,,,,,,,,,,106.96988056739792,None,107.97039870452136,None,109.96077398350462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
15,málna,dominó,0,14,14,14,,,,,,,,,,,,,113.96909185498953,None,114.98292853776366,None,116.97137993015349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
,,,,,,,,,,,,,,,,,,,,,,,,,120.95742257684469,None,u,20.796269538346678,120.95742257684469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.78923456929624,None,space,30.604111631400883,141.78923456929624,None,,,,,,,,,,,,,,,,,,,,,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
1,bagoly,kirakó,,,,,0,0,0,0,,,,,,,172.4141917284578,None,176.44273124774918,None,,,,,,,,,,,,,,,,,kirakó,177.45867748837918,None,space,5.766481016762555,177.45867748837918,None,177.45867748837918,None,177.45867748837918,None," bagoly
",183.31066012429073,None,183.31066012429073,None,return,7.594396718777716,183.31066012429073,None,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
7,menta,triatlon,,,,,0,1,1,6,,,,,,,,,190.96944360341877,None,,,,,,,,,,,,,,,,,menta,192.0023369039409,None,None,,192.0023369039409,None,192.0023369039409,None,192.0023369039409,None," tenisz
",207.00311970710754,None,207.00311970710754,None,return,9.005654410459101,207.00311970710754,None,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
5,mocsár,ananász,,,,,0,2,2,4,,,,,,,,,216.04760360112414,None,,,,,,,,,,,,,,,,,ananász,217.06454444071278,None,space,9.936192955821753,217.06454444071278,None,217.06454444071278,None,217.06454444071278,None,  mocsár,227.02841853816062,None,227.02841853816062,None,return,3.9082334637641907,227.02841853816062,None,,,ss1,2022_Mar_07_1233,palt,2021.1.2,60.02221411808244,
