ID,korosztaly,kor,nem,alkohol_24ora_mennyiseg,alkohol_24ora_ido,alkohol_rendszeres_gyakorisag,alkohol_rendszeres_mennyiseg,koffein_24ora,koffein_24_óra_egység1,koffein_24_óra_idõ1,koffein_24_óra_fajta1,koffein_24_óra_egység2,koffein_24_óra_idõ2,koffein_24_óra_fajta2,koffein_rendszeres_kave,koffein_rendszeres_tea,koffein_rendszeres_energiaital,koffein_rendszeres_szensavas_udito,koffein_rendszeres_gyakorisag,koffein_rendszeres_mennyiseg,alvas_tegnap_mennyiseg,alvas_atlagos_mennyiseg,testmozgas_rendszeres_milyet,testmozgas_jelenleg,testmozgas_rendszeres_miota,testmozgas_rendszeres_gyakorisag,ules_atlagos_idotartam,nikotin_24ora,nikotin_24ora_mennyiseg,Nikotin_rendszeres_fajták,nikotin_rendszeres_gyakorisag,nikotin_rendszeres_mennyiseg
663878,YA,20,nõ,0,0,3-5 alkalommal egy héten,5,0,0,0,egység,0,0,egység,0,0,0,0,3-5 alkalommal egy héten,0.5,"kevesebb, mint 5 óra","kevesebb, mint 5 óra","tánc, küzdõsport",,0.5,heti 8-10 óra,5.5,NA,NA,NA,NA,NA
548792,YA,21,férfi,3,12,minden nap,4,0,0,0,egység,0,0,egység,1,0,0,0,csak különleges alkalmakon,2,6-7 óra,6-7 óra,"labdajáték, futás, súlyzós edzés",,15,heti 5-8 óra,8,NA,NA,NA,NA,NA
104096,YA,21,nõ,0,0,minden nap,2,1,1,7,kávé,0,0,egység,1,0,0,0,soha,1,6-7 óra,6-7 óra,"súlyzós edzés, tánc, küzdõsport",,14,heti 5-8 óra,3.5,NA,NA,NA,NA,NA
158228,YA,20,nõ,0,0,3-5 alkalommal egy héten,10,1,1,3,kávé,0,0,egység,1,1,0,1,soha,1,7-8 óra,7-8 óra,"tánc, futás, jóga",,2,"több, mint heti 10 óra",10,NA,NA,NA,NA,NA
76057,OA,84,nõ,1,21,minden nap,2,0,0,0,egység,0,0,egység,1,1,0,0,3-5 alkalommal egy héten,1,"kevesebb, mint 5 óra","kevesebb, mint 5 óra",torna,,5,heti 8-10 óra,2.5,NA,NA,NA,NA,NA
30718,OA,73,férfi,0,0,NA,0,1,1,3,kávé,0,0,egység,1,0,0,1,soha,1,7-8 óra,7-8 óra,kertészkedés,,6,"több, mint heti 10 óra",5.5,NA,NA,NA,NA,NA
198059,YA,19,nõ,2,17,3-5 alkalommal egy héten,2,1,1,4,kávé,0,0,egység,1,1,0,1,soha,2,5-6 óra,5-6 óra,"tánc, labdajáték, súlyzós edzés",,6,heti 5-8 óra,5,NA,NA,NA,NA,NA
430442,YA,20,férfi,0,0,minden nap,5,1,1,23,energiaital,0,0,egység,0,0,0,0,3-5 alkalommal egy héten,1,6-7 óra,6-7 óra,"úszás, küzdõsport, labdajáték, futás, biciklizés, súlyzós edzés",,16,heti 5-8 óra,5,NA,NA,NA,NA,NA
384825,OA,72,nõ,0,0,minden nap,1,1,1,6,kávé,0,0,egység,1,0,0,0,soha,2,6-7 óra,6-7 óra,"kertészkedés, gyaloglás",,50,heti 2-5 óra,6,NA,NA,NA,NA,NA
5704,OA,69,férfi,0,0,minden nap,1,1,2,3,kávé,0,0,egység,1,1,0,0,soha,2,6-7 óra,6-7 óra,biciklizés,,6,"több, mint heti 10 óra",6.5,NA,NA,NA,NA,NA
704497,OA,71,férfi,0,0,minden nap,1,0,0,0,egység,0,0,egység,0,0,0,1,csak különleges alkalmakon,1,6-7 óra,6-7 óra,nem,,0,"több, mint heti 10 óra",6,NA,NA,NA,NA,NA
898339,YA,21,férfi,1,15,3-5 alkalommal egy héten,2.5,1,1,18,kávé,0,0,egység,1,0,0,0,csak különleges alkalmakon,1,6-7 óra,6-7 óra,"labdajáték, futás, úszás",,6,heti 8-10 óra,6,NA,NA,NA,NA,NA
801231,YA,22,nõ,0,0,minden nap,2.5,0,0,0,egység,0,0,egység,0,1,0,0,soha,1,7-8 óra,7-8 óra,"tánc, labdajáték, küzdõsport, torna",,1.5,heti 5-8 óra,8,NA,NA,NA,NA,NA
